Date,2020-11-25 16:40:30
Filename,STFMK-20201105-LW15-2055_20201125_164030_004.dat
Data Label,정상
Label_No,00
Motor Spec,L-DSF-01, 1730,2.2, 8.6,
Period,3SEC
Sample Rate,4000
RMS,0.005635,
Data Length,12000,
0,-0.0017958785,
0.00025,-0.0079456512,
0.0005,-0.0042417655,
0.00075,-0.0099778594,
0.001,-0.0144382697,
0.00125,-0.0081486292,
0.0015,-0.0116809718,
0.00175,-0.0009723462,
0.002,-0.0125594530,
0.00225,-0.0174045302,
0.0025,-0.0043272250,
0.00275,-0.0059425747,
0.003,-0.0150472578,
0.00325,-0.0013813755,
0.0035,0.0006216476,
0.00375,-0.0193274170,
0.004,-0.0169251580,
0.00425,-0.0157688651,
0.0045,-0.0041001849,
0.00475,-0.0053717354,
0.005,-0.0050963410,
0.00525,-0.0040901345,
0.0055,-0.0006250186,
0.00575,0.0039487351,
0.006,-0.0012338369,
0.00625,-0.0098124910,
0.0065,-0.0046885153,
0.00675,-0.0162721220,
0.007,-0.0172133520,
0.00725,-0.0012640357,
0.0075,-0.0163720157,
0.00775,-0.0036975802,
0.008,-0.0020950446,
0.00825,0.0057817902,
0.0085,-0.0070053013,
0.00875,-0.0105746053,
0.009,-0.0067003705,
0.00925,0.0041909916,
0.0095,0.0003950409,
0.00975,-0.0100983065,
0.01,0.0011795412,
0.01025,0.0043484815,
0.0105,-0.0072211800,
0.01075,-0.0087129949,
0.011,-0.0008427536,
0.01125,-0.0030467645,
0.0115,0.0025919424,
0.01175,-0.0066658100,
0.012,0.0039570234,
0.01225,-0.0033272707,
0.0125,-0.0081148734,
0.01275,-0.0012715985,
0.013,0.0084012477,
0.01325,-0.0013973620,
0.0135,-0.0021938377,
0.01375,0.0075585647,
0.014,0.0087181069,
0.01425,-0.0169421211,
0.0145,-0.0069350451,
0.01475,0.0085048974,
0.015,-0.0075390572,
0.01525,-0.0071612890,
0.0155,0.0026104867,
0.01575,0.0019691028,
0.016,-0.0042094006,
0.01625,-0.0010055669,
0.0165,0.0088639753,
0.01675,-0.0002511374,
0.017,-0.0102282297,
0.01725,0.0049382439,
0.0175,-0.0019580969,
0.01775,-0.0055667059,
0.018,-0.0005592607,
0.01825,0.0084893377,
0.0185,0.0033586142,
0.01875,-0.0014600325,
0.019,0.0046716491,
0.01925,0.0082904929,
0.0195,0.0016650755,
0.01975,0.0031547111,
0.02,0.0141829457,
0.02025,0.0103242677,
0.0205,0.0026931143,
0.02075,0.0062817219,
0.021,0.0074496004,
0.02125,-0.0050478759,
0.0215,-0.0053420179,
0.02175,0.0078067691,
0.022,0.0058683483,
0.02225,0.0012017714,
0.0225,0.0025919571,
0.02275,0.0053986902,
0.023,-0.0049987473,
0.02325,-0.0067814109,
0.0235,-0.0020679983,
0.02375,-0.0036196085,
0.024,-0.0015390073,
0.02425,-0.0034957994,
0.0245,0.0017036705,
0.02475,0.0008566154,
0.025,-0.0045234002,
0.02525,-0.0088969702,
0.0255,0.0040577124,
0.02575,-0.0017081533,
0.026,-0.0099254781,
0.02625,-0.0030243727,
0.0265,-0.0033725703,
0.02675,-0.0043616169,
0.027,-0.0043423744,
0.02725,-0.0033700722,
0.0275,-0.0043456121,
0.02775,-0.0061074463,
0.028,-0.0097904466,
0.02825,0.0025874269,
0.0285,0.0029839461,
0.02875,-0.0092367455,
0.029,-0.0074861329,
0.02925,-0.0013146033,
0.0295,-0.0151247922,
0.02975,-0.0132654933,
0.03,0.0003620129,
0.03025,0.0021081315,
0.0305,-0.0050650910,
0.03075,-0.0060129771,
0.031,-0.0000618641,
0.03125,-0.0003124305,
0.0315,-0.0091291573,
0.03175,-0.0047819447,
0.032,-0.0001934880,
0.03225,-0.0039501619,
0.0325,-0.0026910007,
0.03275,0.0097808279,
0.033,0.0099130264,
0.03325,0.0036680694,
0.0335,0.0069672596,
0.03375,0.0060634818,
0.034,0.0028896565,
0.03425,0.0024024958,
0.0345,0.0043300586,
0.03475,0.0064376672,
0.035,-0.0001863806,
0.03525,-0.0020759010,
0.0355,0.0079103895,
0.03575,-0.0007183950,
0.036,-0.0043757595,
0.03625,0.0026753251,
0.0365,0.0058825063,
0.03675,-0.0057161064,
0.037,0.0016516215,
0.03725,0.0048927679,
0.0375,-0.0032513218,
0.03775,-0.0051684305,
0.038,-0.0030132046,
0.03825,0.0040485482,
0.0385,0.0016565290,
0.03875,-0.0041404483,
0.039,0.0019131723,
0.03925,0.0072612204,
0.0395,-0.0043575135,
0.03975,-0.0067468155,
0.04,0.0042614373,
0.04025,0.0019286851,
0.0405,-0.0142319109,
0.04075,0.0007759093,
0.041,0.0117199570,
0.04125,0.0001965936,
0.0415,-0.0063647167,
0.04175,0.0073654945,
0.042,0.0064876298,
0.04225,-0.0071009304,
0.0425,-0.0053909402,
0.04275,0.0066412976,
0.043,0.0024398537,
0.04325,-0.0071671791,
0.0435,-0.0067137876,
0.04375,0.0059245694,
0.044,-0.0023548808,
0.04425,-0.0083373617,
0.0445,0.0045450954,
0.04475,0.0050195814,
0.045,-0.0038938129,
0.04525,0.0054664449,
0.0455,0.0090212971,
0.04575,0.0021090892,
0.046,-0.0041471780,
0.04625,-0.0063145822,
0.0465,0.0029739470,
0.04675,0.0068256706,
0.047,0.0000696464,
0.04725,0.0093862433,
0.0475,0.0122562237,
0.04775,0.0025021015,
0.048,-0.0046251491,
0.04825,0.0044974363,
0.0485,0.0002383030,
0.04875,-0.0092691649,
0.049,-0.0022141540,
0.04925,0.0012816123,
0.0495,0.0032108186,
0.04975,0.0001685924,
0.05,0.0033208609,
0.05025,0.0060346159,
0.0505,-0.0034101009,
0.05075,-0.0037459251,
0.051,0.0089620762,
0.05125,-0.0013847142,
0.0515,-0.0058635068,
0.05175,0.0034048967,
0.052,0.0018184551,
0.05225,-0.0052045495,
0.0525,-0.0014424592,
0.05275,0.0022013180,
0.053,0.0012760621,
0.05325,0.0010703735,
0.0535,0.0023125322,
0.05375,0.0077921171,
0.054,-0.0006066526,
0.05425,-0.0036241957,
0.0545,0.0048292363,
0.05475,0.0040519126,
0.055,-0.0071188291,
0.05525,0.0061704097,
0.0555,0.0141158681,
0.05575,0.0025039334,
0.056,0.0051347730,
