Date,2020-12-01 16:15:34
Filename,STFMK-20201105-LW15-2055_20201201_161534_004.dat
Data Label,축정렬불량
Label_No,03
Motor Spec,L-DSF-01, 1730,2.2, 8.6,
Period,3SEC
Sample Rate,4000
RMS,0.006458,
Data Length,12000,
0,-0.0030064844,
0.00025,-0.0024765385,
0.0005,0.0117422920,
0.00075,0.0121023096,
0.001,0.0043460634,
0.00125,0.0105467420,
0.0015,0.0145653691,
0.00175,0.0002009904,
0.002,-0.0005351139,
0.00225,0.0037387908,
0.0025,0.0014524518,
0.00275,0.0023851569,
0.003,0.0077042300,
0.00325,0.0140774846,
0.0035,0.0059075039,
0.00375,-0.0011079168,
0.004,-0.0010819088,
0.00425,-0.0009859392,
0.0045,-0.0060757836,
0.00475,-0.0005548725,
0.005,0.0015666104,
0.00525,-0.0006365620,
0.0055,-0.0029911180,
0.00575,-0.0022957725,
0.006,-0.0052449740,
0.00625,0.0010984949,
0.0065,-0.0036737705,
0.00675,-0.0012715092,
0.007,0.0052640266,
0.00725,0.0028011717,
0.0075,-0.0001022418,
0.00775,0.0022906694,
0.008,-0.0061232466,
0.00825,-0.0072996663,
0.0085,-0.0020230704,
0.00875,-0.0017157466,
0.009,-0.0018999064,
0.00925,0.0021266469,
0.0095,0.0016796646,
0.00975,-0.0026591357,
0.01,-0.0011549771,
0.01025,-0.0095112128,
0.0105,-0.0079530645,
0.01075,-0.0060958606,
0.011,-0.0091382824,
0.01125,0.0014498316,
0.0115,0.0085200360,
0.01175,-0.0019018305,
0.012,-0.0039812033,
0.01225,-0.0004951173,
0.0125,-0.0115053738,
0.01275,-0.0144131063,
0.013,-0.0062304111,
0.01325,-0.0030869560,
0.0135,-0.0054740435,
0.01375,-0.0039048141,
0.014,0.0019093531,
0.01425,-0.0032420959,
0.0145,-0.0020292047,
0.01475,-0.0029328973,
0.015,0.0002164960,
0.01525,0.0042578913,
0.0155,0.0020421203,
0.01575,0.0027830156,
0.016,0.0093494300,
0.01625,0.0017673477,
0.0165,-0.0025800373,
0.01675,0.0014638739,
0.017,0.0048943558,
0.01725,0.0048040841,
0.0175,0.0087701539,
0.01775,0.0097333780,
0.018,0.0074255704,
0.01825,0.0018013165,
0.0185,-0.0060134148,
0.01875,-0.0032370177,
0.019,0.0024196201,
0.01925,-0.0049312883,
0.0195,0.0002420309,
0.01975,0.0122181131,
0.02,0.0069241496,
0.02025,-0.0028687259,
0.0205,0.0030089691,
0.02075,0.0011121678,
0.021,-0.0115230735,
0.02125,-0.0089409640,
0.0215,0.0050271945,
