Date,2020-12-26 10:32:20
Filename,STFMK-20201105-LW19-3455_20201226_103220_004.dat
Data Label,회전체불평형
Label_No,02
Motor Spec,L-EF-04, 1760,2.2, 4.7,
Period,3SEC
Sample Rate,4000
RMS,0.012468,
Data Length,12000,
0,0.0145663498,
0.00025,0.0084993793,
0.0005,0.0130514037,
0.00075,0.0286126249,
0.001,0.0203581974,
0.00125,0.0023787448,
0.0015,0.0022677206,
0.00175,-0.0012382724,
0.002,-0.0071315812,
0.00225,-0.0119606331,
0.0025,-0.0022020806,
0.00275,0.0091279149,
0.003,0.0172474161,
0.00325,0.0186489709,
0.0035,0.0284845158,
0.00375,0.0194239430,
0.004,0.0129355304,
0.00425,-0.0021381213,
0.0045,-0.0081911776,
0.00475,-0.0144591080,
0.005,-0.0104431082,
0.00525,-0.0018622471,
0.0055,0.0051676128,
0.00575,0.0146531267,
0.006,0.0255121458,
0.00625,0.0247810315,
0.0065,0.0172644090,
0.00675,0.0092307581,
0.007,-0.0066875117,
0.00725,-0.0214243121,
0.0075,-0.0244455151,
0.00775,-0.0217205659,
0.008,-0.0114091989,
0.00825,-0.0015410348,
0.0085,0.0246097911,
0.00875,0.0273492150,
0.009,0.0192165859,
0.00925,0.0094531979,
0.0095,0.0011655798,
0.00975,-0.0201408304,
0.01,-0.0279383715,
0.01025,-0.0210654438,
0.0105,-0.0070982622,
0.01075,0.0034413948,
0.011,0.0040345103,
0.01125,0.0092591848,
0.0115,0.0075440598,
0.01175,-0.0045531900,
0.012,-0.0177089274,
0.01225,-0.0159674846,
0.0125,-0.0091109909,
0.01275,-0.0099720880,
0.013,-0.0037547275,
0.01325,-0.0004351794,
0.0135,0.0205252673,
0.01375,-0.0028109099,
0.014,-0.0109691955,
0.01425,-0.0059627173,
0.0145,0.0064976835,
0.01475,-0.0119617395,
0.015,-0.0129908985,
0.01525,0.0043034204,
0.0155,0.0066470522,
0.01575,-0.0154771097,
0.016,-0.0113846175,
0.01625,0.0154361865,
0.0165,0.0143325897,
0.01675,0.0040532988,
0.017,0.0085301884,
0.01725,0.0190352872,
0.0175,-0.0016963449,
0.01775,-0.0184257738,
0.018,-0.0104354639,
0.01825,0.0043540467,
0.0185,0.0010560048,
0.01875,0.0061941585,
0.019,0.0156994127,
0.01925,0.0207225699,
0.0195,0.0132318037,
0.01975,-0.0000523799,
0.02,0.0020356018,
0.02025,-0.0038050907,
0.0205,-0.0118206665,
0.02075,-0.0057663899,
0.021,0.0011821729,
0.02125,0.0043402649,
0.0215,0.0088365749,
0.02175,0.0096723391,
0.022,0.0071627507,
0.02225,0.0058787498,
0.0225,0.0026654727,
0.02275,0.0077758152,
0.023,-0.0008421656,
0.02325,0.0028586618,
0.0235,0.0069594732,
0.02375,0.0048241378,
0.024,-0.0002431590,
0.02425,0.0081980871,
0.0245,0.0140139135,
0.02475,0.0087569505,
0.025,0.0123225134,
0.02525,0.0224595554,
0.0255,0.0207822658,
0.02575,0.0005660947,
0.026,0.0073524374,
0.02625,0.0205252673,
0.0265,0.0028779495,
0.02675,-0.0065574860,
0.027,0.0136353206,
0.02725,0.0213185512,
0.0275,-0.0010035000,
0.02775,0.0029018354,
0.028,0.0253742598,
0.02825,0.0190609843,
0.0285,-0.0033961907,
0.02875,0.0072948104,
0.029,0.0258675385,
0.02925,0.0101401145,
0.0295,-0.0133004645,
0.02975,0.0049246610,
0.03,0.0155037688,
0.03025,-0.0072848555,
0.0305,-0.0115315430,
0.03075,0.0139023755,
0.031,0.0216942374,
0.03125,-0.0006221663,
0.0315,0.0069526862,
0.03175,0.0171526652,
0.032,0.0110205654,
0.03225,-0.0141300308,
0.0325,-0.0102336789,
0.03275,0.0025463640,
0.033,0.0035646954,
0.03325,-0.0043150801,
0.0335,0.0142508447,
0.03375,0.0273517184,
0.034,0.0193316415,
0.03425,0.0018689096,
0.0345,0.0015095733,
0.03475,0.0087725576,
0.035,-0.0153053906,
0.03525,-0.0128968712,
0.0355,0.0011814696,
0.03575,0.0042552804,
0.036,-0.0028125863,
0.03625,0.0084446259,
0.0365,0.0111655714,
0.03675,0.0062292777,
0.037,-0.0043879538,
0.03725,-0.0054016593,
0.0375,-0.0058674328,
0.03775,-0.0226067379,
0.038,-0.0246232077,
0.03825,-0.0074815354,
0.0385,-0.0063534407,
0.03875,-0.0039955229,
0.039,0.0108242817,
0.03925,0.0175119266,
0.0395,0.0216441266,
0.03975,0.0116359107,
0.04,0.0069547696,
0.04025,-0.0001910861,
0.0405,-0.0161393061,
0.04075,-0.0256544929,
0.041,-0.0222842786,
0.04125,-0.0168457702,
0.0415,-0.0054775556,
0.04175,0.0008061244,
0.042,0.0068294667,
0.04225,0.0128463972,
0.0425,0.0173979439,
0.04275,0.0017670020,
0.043,-0.0034858640,
0.04325,-0.0116689075,
0.0435,-0.0151911899,
0.04375,-0.0301668402,
0.044,-0.0211016499,
0.04425,-0.0067205313,
0.0445,0.0022675667,
0.04475,-0.0014481532,
0.045,0.0034343167,
0.04525,0.0038475043,
0.0455,-0.0026571960,
0.04575,-0.0183740929,
0.046,-0.0113691865,
0.04625,-0.0038791855,
0.0465,-0.0091329748,
0.04675,-0.0117553324,
0.047,-0.0026159317,
0.04725,0.0019457811,
0.0475,0.0022935588,
0.04775,-0.0098300437,
0.048,-0.0075744018,
0.04825,0.0011334701,
0.0485,-0.0092227366,
0.04875,-0.0215869118,
0.049,-0.0077149766,
0.04925,0.0110200970,
0.0495,0.0002863967,
0.04975,-0.0107790586,
0.05,0.0026731477,
0.05025,0.0175019186,
0.0505,-0.0163633320,
0.05075,-0.0270972438,
0.051,-0.0042048092,
0.05125,-0.0013056705,
0.0515,-0.0196926463,
0.05175,-0.0170887019,
0.052,0.0054626348,
0.05225,0.0129520483,
0.0525,-0.0013642851,
0.05275,0.0022460152,
0.053,0.0096454611,
0.05325,-0.0031746866,
0.0535,-0.0237972364,
0.05375,-0.0032463998,
0.054,-0.0035286669,
0.05425,-0.0034319814,
0.0545,0.0025444985,
0.05475,0.0167566705,
0.055,0.0095800562,
0.05525,0.0070542768,
0.0555,0.0132836541,
0.05575,0.0188995469,
0.056,-0.0044736671,
0.05625,-0.0043544020,
0.0565,0.0078866240,
0.05675,0.0010632063,
0.057,-0.0074439538,
0.05725,0.0088567734,
0.0575,0.0129237082,
0.05775,0.0094205085,
0.058,0.0033655609,
0.05825,0.0132008260,
0.0585,0.0198432021,
0.05875,0.0007581114,
0.059,0.0008277899,
0.05925,0.0116880164,
0.0595,0.0021353127,
0.05975,-0.0053777797,
0.06,0.0113237081,
0.06025,0.0156144472,
0.0605,0.0056337956,
0.06075,-0.0016651828,
0.061,0.0179806873,
0.06125,0.0113056209,
0.0615,-0.0028432896,
0.06175,0.0064491788,
0.062,0.0270517766,
0.06225,0.0073332102,
0.0625,-0.0071832621,
0.06275,0.0009486695,
0.063,0.0106181754,
0.06325,-0.0143338731,
0.0635,-0.0165144634,
0.06375,0.0158300642,
0.064,0.0158647597,
0.06425,-0.0028947932,
0.0645,0.0026862717,
0.06475,0.0224699676,
0.065,-0.0037318179,
0.06525,-0.0251802169,
0.0655,-0.0151481554,
0.06575,-0.0011742465,
0.066,-0.0189130586,
0.06625,-0.0143593885,
0.0665,0.0110477032,
0.06675,0.0245467555,
0.067,0.0003138726,
0.06725,-0.0018081132,
0.0675,0.0021411357,
0.06775,-0.0041592289,
0.068,-0.0182841569,
0.06825,-0.0159799978,
0.0685,-0.0020453825,
0.06875,-0.0018538820,
0.069,-0.0109991720,
0.06925,-0.0047811163,
0.0695,0.0036875224,
0.06975,-0.0055093034,
0.07,-0.0109048858,
0.07025,-0.0127878673,
0.0705,-0.0158347934,
0.07075,-0.0209740736,
0.071,-0.0227395259,
0.07125,-0.0240335073,
0.0715,-0.0128034223,
0.07175,-0.0144741135,
0.072,-0.0042232806,
0.07225,0.0057854988,
0.0725,0.0080388952,
0.07275,0.0109889535,
0.073,-0.0029413064,
0.07325,-0.0032764352,
0.0735,-0.0178880021,
0.07375,-0.0250620097,
0.074,-0.0255754869,
0.07425,-0.0237845238,
0.0745,-0.0187365655,
0.07475,-0.0100164413,
0.075,-0.0010950648,
0.07525,0.0081278877,
