Date,2020-12-24 14:51:19
Filename,STFMK-20201105-LW19-2373_20201224_145119_004.dat
Data Label,베어링불량
Label_No,01
Motor Spec,L-SF-04, 1760,2.2, 4.7,
Period,3SEC
Sample Rate,4000
RMS,0.006977,
Data Length,12000,
0,0.0029247056,
0.00025,-0.0046619833,
0.0005,-0.0124245062,
0.00075,-0.0018811303,
0.001,0.0036846034,
0.00125,0.0031442824,
0.0015,-0.0051294728,
0.00175,-0.0049316688,
0.002,0.0043993439,
0.00225,0.0085704420,
0.0025,0.0049356781,
0.00275,0.0042696046,
0.003,0.0115226321,
0.00325,0.0119643928,
0.0035,0.0058017988,
0.00375,-0.0015042948,
0.004,0.0011367623,
0.00425,0.0040577329,
0.0045,-0.0030761471,
0.00475,-0.0107230572,
0.005,-0.0062834956,
0.00525,-0.0011932106,
0.0055,-0.0052443640,
0.00575,-0.0127437208,
0.006,-0.0039815898,
0.00625,0.0069154804,
0.0065,0.0063068364,
0.00675,-0.0001513043,
0.007,-0.0017990021,
0.00725,0.0059085554,
0.0075,0.0073760664,
0.00775,0.0037550812,
0.008,0.0069900234,
0.00825,0.0084869899,
0.0085,0.0124381958,
0.00875,0.0071105771,
0.009,0.0044285227,
0.00925,0.0063187042,
0.0095,0.0127024390,
0.00975,0.0090088127,
0.01,0.0027918303,
0.01025,0.0032278700,
0.0105,0.0079967603,
0.01075,0.0086853914,
0.011,-0.0036595706,
0.01125,-0.0087886183,
0.0115,0.0033630326,
0.01175,0.0071742875,
0.012,-0.0025148620,
0.01225,-0.0048244679,
0.0125,0.0038910180,
0.01275,0.0072785206,
0.013,0.0063133035,
0.01325,0.0041157207,
0.0135,0.0104415696,
0.01375,0.0212316811,
0.014,0.0153400823,
0.01425,0.0084672440,
0.0145,0.0134511944,
0.01475,0.0130339339,
0.015,0.0100386189,
0.01525,0.0014285574,
0.0155,-0.0059512891,
0.01575,0.0008630600,
0.016,0.0012211979,
0.01625,-0.0075842822,
0.0165,-0.0093755703,
0.01675,-0.0035151539,
0.017,-0.0002981265,
0.01725,-0.0016587598,
0.0175,-0.0040710196,
0.01775,0.0040173708,
0.018,0.0119762141,
0.01825,0.0071427431,
0.0185,0.0033868700,
0.01875,0.0061115939,
0.019,0.0112317046,
0.01925,0.0096770879,
0.0195,-0.0000916694,
0.01975,-0.0023643798,
0.02,0.0057227532,
0.02025,0.0051963227,
0.0205,-0.0065426645,
0.02075,-0.0073262355,
0.021,-0.0016158471,
0.02125,-0.0021714377,
0.0215,-0.0102063529,
0.02175,-0.0161243677,
0.022,-0.0074684625,
0.02225,-0.0054055830,
0.0225,-0.0122246966,
0.02275,-0.0161562115,
0.023,-0.0063375854,
0.02325,-0.0008508578,
0.0235,-0.0050946022,
0.02375,-0.0082987472,
0.024,-0.0098642390,
0.02425,-0.0015475121,
0.0245,-0.0001143924,
0.02475,-0.0046597458,
0.025,-0.0048208479,
0.02525,-0.0019730402,
0.0255,-0.0033818258,
0.02575,-0.0099609504,
0.026,-0.0128357243,
0.02625,-0.0080502275,
0.0265,-0.0075279446,
0.02675,-0.0163022038,
0.027,-0.0214493796,
0.02725,-0.0113732647,
0.0275,-0.0020832969,
0.02775,-0.0069794855,
0.028,-0.0124145569,
0.02825,-0.0059515149,
0.0285,-0.0000832163,
0.02875,0.0002220154,
0.029,-0.0045496048,
0.02925,-0.0025372477,
0.0295,0.0015975081,
0.02975,-0.0015696954,
0.03,-0.0040830551,
0.03025,-0.0011049309,
0.0305,0.0074119698,
0.03075,0.0097543132,
0.031,0.0014186488,
0.03125,-0.0029131132,
0.0315,0.0043302379,
0.03175,0.0052496884,
0.032,0.0025011308,
0.03225,-0.0082532419,
0.0325,-0.0088419309,
0.03275,-0.0010836205,
0.033,-0.0008009383,
0.03325,-0.0068445602,
0.0335,-0.0085811429,
0.03375,-0.0030005309,
0.034,-0.0040574470,
0.03425,-0.0091070253,
0.0345,-0.0017947578,
0.03475,0.0039975154,
0.035,0.0039004697,
0.03525,-0.0088441344,
0.0355,-0.0080113374,
0.03575,0.0002553670,
0.036,0.0066714995,
0.03625,0.0039338893,
0.0365,-0.0013045368,
0.03675,0.0020225698,
0.037,0.0080538429,
0.03725,0.0084713101,
0.0375,0.0033686541,
0.03775,0.0033948631,
0.038,0.0079222694,
0.03825,0.0009746314,
0.0385,-0.0106769130,
0.03875,-0.0079512373,
0.039,-0.0010826509,
0.03925,-0.0043885941,
0.0395,-0.0158590600,
0.03975,-0.0114868097,
0.04,-0.0022847441,
0.04025,0.0013810686,
0.0405,0.0011208439,
0.04075,-0.0023910936,
0.041,0.0037992934,
0.04125,0.0092167538,
0.0415,0.0073571280,
0.04175,0.0073573370,
0.042,0.0090993186,
0.04225,0.0097544137,
0.0425,0.0075923493,
0.04275,0.0022627516,
0.043,0.0025629881,
0.04325,0.0137303825,
0.0435,0.0098050395,
0.04375,0.0018415910,
0.044,0.0014278624,
0.04425,0.0070507582,
0.0445,0.0095313881,
0.04475,0.0001652421,
0.045,-0.0021120450,
0.04525,0.0037117624,
0.0455,0.0063544861,
0.04575,-0.0027247716,
0.046,-0.0046012485,
0.04625,0.0043721814,
0.0465,0.0071193511,
0.04675,0.0059383977,
0.047,0.0041036187,
0.04725,0.0117441369,
0.0475,0.0184151437,
0.04775,0.0146926558,
0.048,0.0094942506,
0.04825,0.0146855190,
0.0485,0.0141336285,
0.04875,0.0130263343,
0.049,0.0063030245,
0.04925,-0.0010440645,
0.0495,-0.0015148019,
0.04975,-0.0007886047,
0.05,-0.0074610971,
0.05025,-0.0090319309,
0.0505,-0.0011701663,
0.05075,0.0019299950,
0.051,-0.0013177301,
0.05125,-0.0063261874,
0.0515,-0.0009359306,
0.05175,0.0083037876,
0.052,0.0062761777,
0.05225,0.0012467571,
0.0525,0.0055291853,
0.05275,0.0103730038,
0.053,0.0064357063,
0.05325,-0.0005369828,
0.0535,0.0034972839,
0.05375,0.0059803277,
0.054,0.0044729598,
0.05425,-0.0039905920,
0.0545,-0.0051696231,
0.05475,0.0039948928,
0.055,0.0026075693,
0.05525,-0.0048189708,
0.0555,-0.0095944237,
0.05575,-0.0029514732,
0.056,0.0011225303,
0.05625,-0.0079159848,
0.0565,-0.0121565852,
0.05675,-0.0118771186,
0.057,-0.0062499619,
0.05725,-0.0101262722,
0.0575,-0.0118482709,
0.05775,-0.0070917653,
0.058,-0.0016807992,
0.05825,0.0010532188,
0.0585,-0.0032846555,
0.05875,-0.0002598874,
0.059,0.0051683951,
0.05925,0.0069867778,
0.0595,-0.0038413252,
0.05975,-0.0049408590,
0.06,0.0010324687,
0.06025,0.0004023242,
0.0605,-0.0082564140,
0.06075,-0.0164305661,
0.061,-0.0108225821,
0.06125,-0.0089187585,
0.0615,-0.0149819832,
0.06175,-0.0160855893,
0.062,-0.0078701936,
0.06225,-0.0056465873,
0.0625,-0.0069376603,
0.06275,-0.0089932363,
0.063,-0.0050078193,
0.06325,0.0033775007,
0.0635,0.0005041574,
0.06375,-0.0016985303,
0.064,0.0012462329,
0.06425,0.0058391625,
0.0645,0.0040943497,
0.06475,-0.0032573282,
0.065,-0.0022922645,
0.06525,0.0029217247,
0.0655,0.0090102023,
0.06575,0.0038707617,
0.066,-0.0038316124,
0.06625,-0.0027878419,
0.0665,0.0017282867,
0.06675,-0.0052596251,
0.067,-0.0082997335,
0.06725,-0.0047542774,
0.0675,-0.0038640250,
0.06775,-0.0080806781,
0.068,-0.0160609074,
0.06825,-0.0111983009,
0.0685,-0.0026460951,
0.06875,-0.0030607299,
0.069,-0.0063592847,
0.06925,-0.0047418736,
0.0695,0.0026772199,
0.06975,0.0058471626,
0.07,-0.0008606033,
0.07025,0.0002428799,
0.0705,0.0079639358,
0.07075,0.0067507979,
0.071,0.0038250585,
0.07125,0.0012821214,
0.0715,0.0062359194,
0.07175,0.0039080246,
0.072,0.0001028646,
0.07225,-0.0042189723,
0.0725,0.0025830769,
0.07275,0.0037948410,
0.073,-0.0042059543,
0.07325,-0.0086732917,
0.0735,-0.0086356290,
0.07375,-0.0030376106,
0.074,-0.0028368360,
0.07425,-0.0079015428,
0.0745,-0.0044368617,
0.07475,0.0038844871,
0.075,0.0052768113,
0.07525,0.0017668527,
0.0755,0.0067000156,
0.07575,0.0112196449,
0.076,0.0128394328,
0.07625,0.0063986490,
0.0765,0.0033741447,
0.07675,0.0090276813,
0.077,0.0133169070,
0.07725,0.0116513744,
0.0775,0.0048917015,
0.07775,0.0050669978,
0.078,0.0086916573,
0.07825,0.0059661213,
0.0785,0.0020558327,
0.07875,0.0015711046,
0.079,0.0018485415,
0.07925,0.0010023923,
0.0795,-0.0052869050,
0.07975,-0.0008766594,
0.08,0.0056644757,
0.08025,0.0065337797,
0.0805,-0.0009820045,
0.08075,0.0015442502,
0.081,0.0111484909,
0.08125,0.0127101820,
0.0815,0.0129684517,
0.08175,0.0066063032,
0.082,0.0104040196,
0.08225,0.0160734318,
0.0825,0.0136598609,
0.08275,0.0098591438,
0.083,0.0076288292,
0.08325,0.0098052789,
0.0835,0.0007178180,
0.08375,-0.0050439108,
0.084,-0.0011412150,
0.08425,0.0037847543,
0.0845,0.0005167485,
0.08475,-0.0104171820,
0.085,-0.0084135346,
0.08525,-0.0001358830,
0.0855,0.0056762248,
0.08575,0.0016488780,
0.086,-0.0004071010,
0.08625,0.0022081961,
0.0865,0.0065352679,
0.08675,0.0045772651,
0.087,0.0001109788,
0.08725,0.0032793407,
0.0875,0.0053763245,
0.08775,-0.0002837718,
0.088,-0.0019417231,
0.08825,0.0000230052,
0.0885,0.0052328985,
0.08875,-0.0037922000,
0.089,-0.0098902825,
0.08925,-0.0013051498,
0.0895,0.0014967670,
0.08975,-0.0021338179,
0.09,-0.0093007544,
0.09025,-0.0111913085,
0.0905,-0.0098881815,
0.09075,-0.0103117628,
0.091,-0.0131123681,
0.09125,-0.0141358133,
0.0915,-0.0050078705,
0.09175,-0.0038440791,
0.092,-0.0059278114,
0.09225,-0.0033199845,
0.0925,0.0060611726,
0.09275,0.0120554380,
0.093,0.0048540020,
0.09325,-0.0003616521,
0.0935,0.0032049022,
0.09375,0.0075888429,
0.094,0.0036959478,
0.09425,-0.0042029610,
0.0945,-0.0033846938,
0.09475,-0.0017064101,
0.095,-0.0073096971,
0.09525,-0.0116157914,
0.0955,-0.0093560591,
0.09575,-0.0075816107,
0.096,-0.0072608031,
0.09625,-0.0110681579,
0.0965,-0.0127842268,
0.09675,-0.0027307214,
0.097,-0.0025881894,
0.09725,-0.0094167609,
0.0975,-0.0071872585,
0.09775,-0.0049986974,
0.098,-0.0027341188,
0.09825,-0.0010769399,
0.0985,-0.0038520382,
0.09875,-0.0021525084,
0.099,0.0041308817,
0.09925,0.0020217602,
0.0995,-0.0021494161,
0.09975,0.0050407927,
0.1,0.0092949178,
0.10025,0.0058601773,
0.1005,-0.0054752240,
0.10075,-0.0109287212,
0.101,-0.0017608951,
0.10125,-0.0028451858,
0.1015,-0.0128483484,
0.10175,-0.0136588803,
0.102,-0.0134723894,
0.10225,-0.0121811293,
0.1025,-0.0125137763,
0.10275,-0.0122988317,
0.103,-0.0077723842,
0.10325,-0.0003072510,
0.1035,-0.0024590248,
0.10375,-0.0015022822,
0.104,0.0075759501,
0.10425,0.0076492880,
0.1045,0.0083493339,
0.10475,0.0028380242,
0.105,0.0035111245,
0.10525,0.0145191699,
0.1055,0.0132792797,
0.10575,0.0016395187,
0.106,-0.0002871878,
0.10625,0.0066650165,
0.1065,0.0029791195,
0.10675,0.0010754770,
0.107,-0.0020030173,
0.10725,-0.0002278697,
0.1075,-0.0005489111,
0.10775,-0.0056322012,
0.108,-0.0035899011,
0.10825,0.0027520161,
0.1085,0.0055692317,
0.10875,0.0025593271,
0.109,0.0014108212,
0.10925,0.0055290600,
0.1095,0.0118040498,
0.10975,0.0104484018,
0.11,0.0030802977,
0.11025,0.0029536185,
0.1105,0.0085412068,
0.11075,0.0130129084,
0.111,0.0056379456,
0.11125,0.0044190050,
0.1115,0.0103087425,
0.11175,0.0100404387,
0.112,0.0062948097,
0.11225,0.0011475671,
0.1125,0.0075213281,
0.11275,0.0061365399,
0.113,0.0006574952,
0.11325,-0.0008011064,
0.1135,0.0053782756,
0.11375,0.0111226309,
0.114,0.0002315938,
0.11425,-0.0011830390,
0.1145,0.0040667607,
0.11475,0.0070425239,
0.115,0.0074768653,
0.11525,0.0027760586,
0.1155,0.0014346110,
0.11575,0.0049345936,
0.116,0.0086424612,
0.11625,0.0052978536,
0.1165,0.0033591739,
0.11675,0.0063050445,
0.117,0.0059197340,
0.11725,-0.0004583254,
0.1175,-0.0055833384,
0.11775,0.0001295357,
0.118,0.0032892139,
0.11825,-0.0007073568,
0.1185,-0.0044996520,
0.11875,0.0025733130,
0.119,0.0057879165,
0.11925,0.0031875046,
0.1195,-0.0011148159,
0.11975,-0.0000777273,
0.12,0.0085012130,
0.12025,0.0071398313,
0.1205,0.0026053144,
0.12075,-0.0010597436,
0.121,0.0013717060,
0.12125,0.0002966169,
0.1215,-0.0026634075,
0.12175,-0.0032675401,
0.122,0.0035243181,
0.12225,0.0031749308,
0.1225,-0.0073379301,
0.12275,-0.0120534282,
0.123,-0.0014762399,
0.12325,0.0047525959,
0.1235,0.0021918966,
0.12375,-0.0037039774,
0.124,-0.0061594239,
0.12425,0.0011107951,
0.1245,-0.0025070240,
0.12475,-0.0071964483,
0.125,-0.0068117999,
0.12525,-0.0042739641,
0.1255,-0.0068353727,
0.12575,-0.0106806234,
0.126,-0.0084925173,
0.12625,-0.0040490590,
0.1265,0.0003693046,
0.12675,-0.0078255236,
0.127,-0.0092628375,
0.12725,-0.0025501861,
0.1275,0.0049154270,
0.12775,0.0020013994,
0.128,-0.0047973995,
0.12825,-0.0008001665,
0.1285,0.0016194754,
0.12875,0.0008468676,
0.129,-0.0058204979,
0.12925,-0.0019233454,
0.1295,0.0008108266,
0.12975,-0.0076775271,
0.13,-0.0107144956,
0.13025,-0.0082792053,
0.1305,0.0009782803,
0.13075,-0.0043359566,
0.131,-0.0128791304,
0.13125,-0.0136778932,
0.1315,-0.0092223408,
0.13175,-0.0052705309,
0.132,-0.0098496536,
0.13225,-0.0137481038,
0.1325,-0.0130327810,
0.13275,-0.0046392186,
0.133,-0.0013273223,
0.13325,-0.0059503075,
0.1335,-0.0023880282,
0.13375,0.0045071556,
0.134,0.0011386302,
0.13425,-0.0024219651,
0.1345,0.0020152468,
0.13475,0.0079182107,
0.135,0.0023933204,
0.13525,-0.0078669991,
0.1355,-0.0077639734,
0.13575,-0.0018498091,
0.136,0.0002111511,
0.13625,-0.0069877664,
0.1365,-0.0095454678,
0.13675,-0.0060356027,
0.137,-0.0008469047,
0.13725,-0.0017520834,
0.1375,-0.0046783425,
0.13775,0.0001172419,
0.138,0.0025473861,
0.13825,0.0002841195,
0.1385,-0.0038387477,
0.13875,0.0027837942,
0.139,0.0098217782,
0.13925,0.0061462279,
0.1395,-0.0045182551,
0.13975,-0.0001619666,
0.14,0.0086150896,
0.14025,0.0087965922,
0.1405,0.0057194331,
0.14075,-0.0006890745,
0.141,0.0051540532,
0.14125,0.0071799876,
0.1415,0.0008371220,
0.14175,-0.0020030492,
0.142,0.0002466516,
0.14225,0.0038062409,
0.1425,-0.0002652801,
0.14275,-0.0037333961,
0.143,-0.0030852305,
0.14325,0.0029946761,
0.1435,0.0014513951,
0.14375,-0.0059084157,
0.144,-0.0022393130,
0.14425,0.0037559303,
0.1445,0.0048744739,
0.14475,-0.0005664304,
0.145,-0.0025099316,
0.14525,0.0083333142,
