Date,2020-12-01 08:57:40
Filename,STFMK-20201105-LW19-1941_20201201_085740_004.dat
Data Label,벨트느슨함
Label_No,04
Motor Spec,R-EF-05, 1760,2.2, 4.7,
Period,3SEC
Sample Rate,4000
RMS,0.006855,
Data Length,12000,
0,0.0061350451,
0.00025,0.0030268193,
0.0005,0.0080216285,
0.00075,0.0049669156,
0.001,0.0067118863,
0.00125,0.0138148619,
0.0015,0.0090648429,
0.00175,0.0086316988,
0.002,0.0105502037,
0.00225,0.0097949812,
0.0025,0.0132795414,
0.00275,0.0072256597,
0.003,0.0096829478,
0.00325,0.0179921556,
0.0035,0.0162644684,
0.00375,0.0065664942,
0.004,0.0118885934,
0.00425,0.0145042418,
0.0045,0.0081619713,
0.00475,0.0043376377,
0.005,0.0060478803,
0.00525,0.0111706592,
0.0055,0.0080918139,
0.00575,-0.0047204779,
0.006,0.0077913655,
0.00625,0.0143137211,
0.0065,-0.0022686603,
0.00675,0.0026587858,
0.007,0.0085387388,
0.00725,0.0030278659,
0.0075,-0.0040738815,
0.00775,-0.0059819045,
0.008,0.0052854689,
0.00825,0.0057298108,
0.0085,-0.0078951344,
0.00875,0.0049622329,
0.009,0.0142430644,
0.00925,0.0037351870,
0.0095,0.0010020812,
0.00975,0.0055135889,
0.01,0.0104696825,
0.01025,0.0009783205,
0.0105,-0.0057232608,
0.01075,0.0127316434,
0.011,0.0105119608,
0.01125,-0.0036709043,
0.0115,0.0047459533,
0.01175,0.0097722886,
0.012,0.0068319407,
0.01225,-0.0009307664,
0.0125,-0.0023864412,
0.01275,0.0106586004,
0.013,-0.0031733648,
0.01325,-0.0102808382,
0.0135,0.0034978029,
0.01375,0.0032606088,
0.014,-0.0017205239,
0.01425,-0.0044359318,
0.0145,-0.0056585665,
0.01475,0.0030020436,
0.015,-0.0082689580,
0.01525,-0.0101252180,
0.0155,-0.0028524380,
0.01575,-0.0067716381,
0.016,-0.0068792258,
0.01625,-0.0111016538,
0.0165,-0.0059933681,
0.01675,0.0025188269,
0.017,-0.0092811370,
0.01725,-0.0061498885,
0.0175,-0.0016190297,
0.01775,-0.0045892023,
0.018,-0.0020714651,
0.01825,-0.0087858913,
0.0185,0.0013660971,
0.01875,0.0022013234,
0.019,-0.0058854609,
0.01925,-0.0003215548,
0.0195,0.0009717743,
0.01975,0.0024555628,
0.02,-0.0004248587,
0.02025,-0.0060759648,
0.0205,0.0047977129,
0.02075,0.0060873763,
0.021,-0.0024863896,
0.02125,0.0006470626,
0.0215,0.0033931849,
0.02175,0.0038029756,
0.022,-0.0054642055,
0.02225,-0.0088178758,
0.0225,0.0041587050,
0.02275,-0.0012775320,
0.023,-0.0117830206,
0.02325,-0.0039318628,
0.0235,0.0037477107,
0.02375,0.0027964988,
0.024,-0.0118103083,
0.02425,-0.0064237304,
0.0245,0.0075493930,
0.02475,-0.0075271381,
0.025,-0.0169113949,
0.02525,0.0017505739,
0.0255,0.0054704975,
0.02575,-0.0043901545,
0.026,-0.0118420655,
0.02625,0.0046927328,
0.0265,0.0079727666,
0.02675,-0.0121932011,
0.027,-0.0095721995,
0.02725,0.0068848203,
0.0275,0.0015198435,
0.02775,-0.0090612266,
0.028,-0.0020450288,
0.02825,0.0131313773,
0.0285,0.0069492199,
0.02875,-0.0073541910,
0.029,0.0085662846,
0.02925,0.0129963281,
0.0295,0.0001690276,
0.02975,-0.0023099459,
0.03,0.0046447907,
0.03025,0.0095319245,
0.0305,-0.0011793420,
0.03075,-0.0034100248,
0.031,0.0116659617,
0.03125,0.0076247966,
0.0315,0.0008119658,
0.03175,-0.0014258887,
0.032,0.0065657492,
0.03225,0.0008942229,
0.0325,-0.0135949524,
0.03275,-0.0028864611,
0.033,0.0012272981,
0.03325,-0.0080141174,
0.0335,-0.0030109757,
0.03375,-0.0061884280,
0.034,-0.0022225666,
0.03425,-0.0022695335,
0.0345,-0.0101237968,
0.03475,0.0013566497,
0.035,0.0015569527,
0.03525,-0.0064437143,
0.0355,0.0027814722,
0.03575,-0.0037595858,
0.036,0.0044365516,
0.03625,0.0089924000,
0.0365,-0.0029880023,
0.03675,0.0081560966,
0.037,0.0090890490,
0.03725,0.0064889239,
0.0375,0.0070837876,
0.03775,0.0004830481,
0.038,0.0113348998,
0.03825,0.0094813965,
0.0385,-0.0088761179,
0.03875,0.0051873727,
0.039,0.0101560764,
0.03925,-0.0018546445,
0.0395,-0.0061808671,
0.03975,-0.0026795242,
0.04,0.0077369818,
0.04025,-0.0047144373,
0.0405,-0.0155969253,
0.04075,0.0089694904,
0.041,0.0032005031,
0.04125,-0.0133756399,
0.0415,-0.0018721219,
0.04175,0.0037712755,
0.042,0.0039440878,
0.04225,-0.0079806056,
0.0425,-0.0074557588,
0.04275,0.0127085755,
0.043,-0.0016113924,
0.04325,-0.0130753201,
0.0435,0.0002684935,
0.04375,0.0017809675,
0.044,-0.0105395159,
0.04425,-0.0135816950,
0.0445,-0.0045552929,
0.04475,0.0042649498,
0.045,-0.0107805096,
0.04525,-0.0093039349,
0.0455,0.0038528582,
0.04575,0.0006806349,
0.046,-0.0064145676,
0.04625,-0.0057878150,
0.0465,0.0017448519,
0.04675,0.0018677006,
0.047,-0.0101838810,
