Date,2020-11-27 10:08:56
Filename,STFMK-20201105-LW19-1941_20201127_100856_004.dat
Data Label,정상
Label_No,00
Motor Spec,R-EF-05, 1760,2.2, 4.7,
Period,3SEC
Sample Rate,4000
RMS,0.007875,
Data Length,12000,
0,0.0025417933,
0.00025,0.0009488226,
0.0005,-0.0033044568,
0.00075,-0.0146820778,
0.001,0.0025706091,
0.00125,0.0058609648,
0.0015,-0.0138673605,
0.00175,-0.0077285580,
0.002,0.0114922337,
0.00225,0.0086063929,
0.0025,-0.0028442983,
0.00275,0.0017477734,
0.003,0.0240374506,
0.00325,0.0089830337,
0.0035,-0.0086518796,
0.00375,0.0045640706,
0.004,0.0144552644,
0.00425,-0.0001414801,
0.0045,-0.0073134573,
0.00475,0.0036012845,
0.005,0.0195734724,
0.00525,-0.0003344472,
0.0055,-0.0075075291,
0.00575,0.0216113031,
0.006,0.0109777274,
0.00625,-0.0082115745,
0.0065,-0.0065867472,
0.00675,0.0021273254,
0.007,0.0067203650,
0.00725,-0.0097505525,
0.0075,-0.0068141371,
0.00775,0.0104994867,
0.008,-0.0022560181,
0.00825,-0.0092578698,
0.0085,-0.0066665523,
0.00875,0.0010449848,
0.009,-0.0044372557,
0.00925,-0.0151336696,
0.0095,-0.0039108037,
0.00975,0.0071520125,
0.01,-0.0005270179,
0.01025,-0.0014008525,
0.0105,0.0009653076,
0.01075,0.0021948044,
0.011,0.0002517228,
0.01125,-0.0128056994,
0.0115,-0.0070784804,
0.01175,0.0016635035,
0.012,-0.0045045693,
0.01225,-0.0022546274,
0.0125,0.0008908447,
0.01275,0.0074128071,
0.013,0.0076651815,
0.01325,-0.0059984243,
0.0135,0.0018187903,
0.01375,0.0098975515,
0.014,-0.0081204753,
0.01425,-0.0125771016,
0.0145,-0.0014827424,
0.01475,0.0016283417,
0.015,-0.0042684386,
0.01525,-0.0066024340,
0.0155,0.0042959424,
0.01575,0.0062088370,
0.016,-0.0054386910,
0.01625,-0.0056481604,
0.0165,0.0055614049,
0.01675,0.0063424073,
0.017,-0.0183916502,
0.01725,-0.0050119935,
0.0175,0.0033546926,
0.01775,-0.0041624955,
0.018,-0.0129281394,
0.01825,-0.0022116264,
0.0185,0.0046837903,
0.01875,-0.0012140897,
0.019,-0.0105893295,
0.01925,0.0040923893,
0.0195,0.0152448369,
0.01975,-0.0026680166,
0.02,-0.0019100201,
0.02025,0.0056309486,
0.0205,0.0087589584,
0.02075,-0.0038391948,
0.021,-0.0052500647,
0.02125,0.0105202431,
0.0215,0.0096819196,
0.02175,-0.0052174502,
0.022,0.0047312812,
0.02225,0.0133628035,
0.0225,0.0185953975,
0.02275,-0.0005113800,
0.023,0.0000540538,
0.02325,0.0172998868,
0.0235,0.0026704373,
0.02375,-0.0032938272,
0.024,0.0071616662,
0.02425,0.0104028815,
0.0245,0.0027078446,
0.02475,-0.0044484572,
0.025,-0.0013653536,
0.02525,0.0135851670,
0.0255,-0.0064997934,
0.02575,-0.0110858968,
0.026,0.0022278933,
0.02625,-0.0009508785,
0.0265,-0.0031447131,
0.02675,-0.0062521892,
0.027,0.0004516490,
0.02725,0.0051679746,
0.0275,-0.0104758311,
0.02775,-0.0108352639,
0.028,0.0018935809,
0.02825,-0.0050270567,
0.0285,-0.0040950030,
0.02875,-0.0038477019,
0.029,0.0025929662,
0.02925,0.0056156442,
0.0295,-0.0041681398,
0.02975,0.0007539766,
0.03,0.0057256818,
0.03025,-0.0020104758,
0.0305,0.0004098841,
0.03075,-0.0090868566,
0.031,-0.0029507189,
0.03125,0.0059967418,
0.0315,-0.0071115182,
0.03175,-0.0006026573,
0.032,0.0085021816,
0.03225,0.0048442129,
0.0325,0.0024674200,
0.03275,0.0032557333,
0.033,0.0113139898,
0.03325,0.0101506971,
0.0335,-0.0076073483,
0.03375,-0.0018884034,
0.034,0.0088267121,
0.03425,-0.0029225487,
0.0345,-0.0102937240,
0.03475,-0.0046367971,
0.035,0.0078482218,
0.03525,-0.0035748510,
0.0355,-0.0099262763,
0.03575,0.0089065647,
0.036,0.0141783757,
0.03625,0.0012197787,
0.0365,-0.0010803967,
0.03675,0.0071103401,
0.037,0.0095247915,
0.03725,-0.0062496024,
0.0375,-0.0051930919,
0.03775,0.0103282519,
0.038,0.0082173310,
0.03825,-0.0021261445,
0.0385,0.0003999373,
0.03875,0.0158590693,
0.039,0.0110667301,
0.03925,-0.0028973504,
0.0395,0.0004466998,
0.03975,0.0112707671,
0.04,-0.0031809192,
0.04025,-0.0053248173,
0.0405,0.0048587220,
0.04075,0.0101496512,
0.041,0.0004716011,
0.04125,-0.0051279943,
0.0415,0.0057135243,
0.04175,0.0054884376,
0.042,-0.0055282321,
0.04225,-0.0098505281,
0.0425,0.0038289651,
0.04275,0.0018800027,
0.043,-0.0062750243,
0.04325,-0.0017974536,
0.0435,0.0056128660,
0.04375,0.0002952766,
0.044,-0.0103015043,
0.04425,-0.0085458308,
0.0445,-0.0056219338,
0.04475,-0.0120267421,
0.045,-0.0180218350,
0.04525,-0.0106883226,
0.0455,-0.0008536930,
0.04575,-0.0072005587,
0.046,-0.0075034001,
0.04625,-0.0044513796,
0.0465,0.0029155205,
0.04675,-0.0030378080,
0.047,-0.0137899444,
0.04725,-0.0043965466,
0.0475,-0.0063040340,
0.04775,-0.0127705149,
0.048,-0.0100142136,
0.04825,-0.0044820788,
0.0485,0.0025250046,
0.04875,-0.0025398638,
0.049,-0.0071483897,
0.04925,0.0057028416,
0.0495,0.0068739005,
0.04975,-0.0012342412,
0.05,-0.0017678674,
0.05025,0.0001583563,
0.0505,0.0058993595,
0.05075,-0.0040047793,
0.051,-0.0075129243,
0.05125,0.0106834155,
0.0515,0.0058655078,
0.05175,-0.0033714706,
0.052,0.0071226070,
0.05225,0.0093304198,
0.0525,0.0091047836,
0.05275,0.0016536143,
0.053,0.0046670986,
0.05325,0.0216377918,
0.0535,0.0044434648,
0.05375,-0.0033081926,
0.054,0.0082929665,
0.05425,0.0078142155,
0.0545,0.0029058799,
0.05475,-0.0035628651,
0.055,0.0059542693,
0.05525,0.0152321346,
0.0555,-0.0010737462,
0.05575,0.0050129341,
0.056,0.0173473507,
0.05625,0.0081587285,
0.0565,-0.0009319657,
0.05675,-0.0013620249,
0.057,0.0095739299,
0.05725,0.0111569874,
0.0575,-0.0037809131,
0.05775,0.0046334877,
0.058,0.0159601979,
0.05825,0.0003058799,
0.0585,-0.0014788493,
0.05875,0.0064434130,
0.059,0.0073089129,
0.05925,0.0049060388,
0.0595,-0.0047777048,
0.05975,0.0095118228,
0.06,0.0144478343,
0.06025,0.0020581819,
0.0605,0.0027235716,
0.06075,0.0054436694,
0.061,0.0046076044,
0.06125,-0.0072659291,
0.0615,-0.0098608229,
0.06175,-0.0023249537,
0.062,0.0039736703,
0.06225,-0.0056721088,
0.0625,-0.0039149318,
0.06275,0.0040449798,
0.063,0.0024505043,
0.06325,-0.0059356047,
0.0635,-0.0062454422,
0.06375,0.0009256903,
0.064,-0.0052661984,
0.06425,-0.0165876299,
0.0645,-0.0085559506,
0.06475,-0.0034087505,
0.065,-0.0024648164,
0.06525,-0.0098242853,
0.0655,-0.0060416013,
0.06575,0.0008377465,
0.066,-0.0023613994,
0.06625,-0.0047291596,
0.0665,-0.0009011746,
0.06675,0.0045228950,
0.067,-0.0045404113,
0.06725,-0.0075702919,
0.0675,-0.0024777721,
0.06775,0.0006901652,
0.068,-0.0013490162,
0.06825,-0.0060607400,
0.0685,-0.0024225775,
0.06875,0.0065973145,
0.069,-0.0013453541,
0.06925,-0.0039289868,
0.0695,0.0103296731,
0.06975,0.0091462433,
0.07,-0.0000563879,
0.07025,-0.0058130687,
0.0705,0.0032809470,
0.07075,0.0031653093,
0.071,-0.0104166949,
0.07125,-0.0077721290,
0.0715,0.0048026969,
0.07175,0.0001169567,
0.072,-0.0074442308,
0.07225,-0.0001888104,
0.0725,0.0169305336,
0.07275,0.0016586377,
0.073,-0.0157211740,
0.07325,0.0006321621,
0.0735,0.0044445340,
0.07375,-0.0061921221,
0.074,-0.0047897380,
0.07425,0.0049981978,
0.0745,0.0063665188,
0.07475,-0.0006923348,
0.075,-0.0079879081,
0.07525,0.0092481282,
0.0755,0.0034544272,
0.07575,-0.0097540654,
0.076,-0.0047569196,
0.07625,0.0015507990,
0.0765,0.0066087898,
0.07675,-0.0016736863,
0.077,0.0010061285,
0.07725,0.0083961478,
0.0775,0.0029310628,
0.07775,-0.0047307257,
0.078,-0.0040034675,
0.07825,-0.0034682010,
0.0785,-0.0003927581,
0.07875,-0.0067714341,
0.079,-0.0046391976,
0.07925,0.0073045162,
0.0795,0.0045900950,
0.07975,-0.0019233872,
0.08,0.0049584042,
0.08025,0.0023280319,
0.0805,0.0027222424,
0.08075,-0.0140626933,
0.081,-0.0117635038,
0.08125,0.0049354779,
0.0815,-0.0081424220,
0.08175,-0.0042816107,
0.082,0.0044217110,
0.08225,0.0048490278,
0.0825,0.0028066870,
0.08275,0.0019485473,
0.083,0.0036961925,
0.08325,0.0117482757,
0.0835,-0.0053478987,
0.08375,-0.0074376501,
0.084,0.0029113842,
0.08425,0.0060727820,
0.0845,-0.0042276555,
0.08475,-0.0004070301,
0.085,0.0100590475,
0.08525,0.0065435166,
0.0855,-0.0041516572,
0.08575,0.0029901727,
0.086,0.0138312131,
0.08625,0.0112925880,
0.0865,0.0036837871,
0.08675,0.0092954542,
0.087,0.0199058168,
0.08725,0.0081536546,
0.0875,0.0002863579,
0.08775,0.0101337582,
0.088,0.0147622405,
0.08825,0.0026904081,
0.0885,-0.0002936510,
0.08875,0.0125340614,
0.089,0.0111468248,
0.08925,0.0066241208,
0.0895,-0.0024585528,
0.08975,0.0049899686,
0.09,0.0039988239,
0.09025,-0.0042684004,
0.0905,-0.0067133065,
0.09075,0.0075109545,
0.091,-0.0030460802,
0.09125,-0.0089755468,
0.0915,-0.0048854481,
0.09175,-0.0014379353,
0.092,0.0040361779,
0.09225,-0.0138677489,
0.0925,-0.0076070563,
0.09275,0.0032106377,
0.093,-0.0047400333,
0.09325,-0.0069295345,
0.0935,0.0017370003,
0.09375,0.0014896144,
0.094,-0.0038930033,
0.09425,-0.0107624326,
0.0945,-0.0078201778,
0.09475,-0.0039906274,
0.095,-0.0085854940,
0.09525,-0.0117962863,
0.0955,-0.0002425885,
0.09575,0.0007874015,
0.096,-0.0003766528,
0.09625,-0.0050313482,
0.0965,0.0010480462,
0.09675,0.0035938499,
0.097,-0.0085801650,
0.09725,-0.0049840333,
0.0975,-0.0043665017,
0.09775,-0.0064702285,
0.098,-0.0047518620,
0.09825,-0.0105811274,
0.0985,0.0007706065,
0.09875,-0.0009952252,
0.099,-0.0126280077,
0.09925,-0.0041793762,
0.0995,0.0021651967,
0.09975,-0.0066615064,
0.1,-0.0051499372,
0.10025,-0.0081677288,
0.1005,-0.0015512084,
0.10075,-0.0075594271,
0.101,-0.0115617700,
0.10125,-0.0033848535,
0.1015,-0.0035422170,
0.10175,-0.0086731846,
0.102,-0.0043241545,
0.10225,-0.0010964540,
0.1025,0.0056853341,
0.10275,0.0029083246,
0.103,0.0033300391,
0.10325,0.0071768411,
0.1035,0.0058008060,
0.10375,0.0005960767,
0.104,0.0005596021,
0.10425,0.0043699355,
0.1045,0.0082208002,
0.10475,0.0019179961,
0.105,0.0054430985,
0.10525,0.0150565263,
0.1055,0.0103325937,
0.10575,0.0116662113,
0.106,0.0044344123,
0.10625,0.0108062737,
0.1065,0.0060938168,
0.10675,-0.0071516610,
0.107,0.0043526092,
0.10725,0.0101789497,
0.1075,0.0003475275,
0.10775,0.0007285684,
0.108,0.0046794438,
0.10825,0.0066776597,
0.1085,-0.0022665979,
0.10875,-0.0078602182,
0.109,-0.0001784779,
0.10925,-0.0005056801,
0.1095,-0.0089237504,
0.10975,-0.0035532820,
0.11,0.0032669087,
0.11025,0.0011426859,
0.1105,-0.0046824487,
0.11075,-0.0087997355,
0.111,0.0020126204,
0.11125,-0.0084121507,
0.1115,-0.0137416450,
0.11175,-0.0082410155,
0.112,-0.0035151409,
0.11225,-0.0002069627,
0.1125,-0.0043385183,
0.11275,0.0005664048,
0.113,0.0104388185,
0.11325,0.0024855370,
0.1135,-0.0009567325,
0.11375,0.0047853533,
0.114,-0.0001026144,
0.11425,-0.0009650345,
0.1145,-0.0059204381,
0.11475,-0.0000611467,
0.115,0.0062562758,
0.11525,-0.0004942839,
0.1155,0.0042971903,
0.11575,0.0043251929,
0.116,0.0058224425,
0.11625,0.0058485079,
0.1165,-0.0012657624,
0.11675,0.0013615217,
0.117,0.0005238050,
0.11725,-0.0019799874,
0.1175,-0.0060854298,
0.11775,-0.0022032559,
0.118,0.0011100388,
0.11825,0.0023505259,
0.1185,-0.0084971096,
0.11875,0.0040508364,
0.119,0.0055777784,
0.11925,-0.0043202825,
0.1195,0.0043878434,
0.11975,0.0076109981,
0.12,0.0086876461,
0.12025,0.0011038024,
0.1205,-0.0027726898,
0.12075,0.0110881263,
0.121,0.0016514244,
0.12125,-0.0022416739,
0.1215,0.0095094126,
0.12175,0.0078682778,
0.122,0.0079123974,
0.12225,0.0051307078,
0.1225,0.0158598870,
0.12275,0.0162299573,
0.123,0.0048462925,
0.12325,0.0073102587,
0.1235,0.0122710140,
0.12375,0.0086263483,
0.124,0.0078987312,
0.12425,0.0047979075,
0.1245,0.0050345412,
0.12475,0.0106696207,
0.125,-0.0044798274,
0.12525,-0.0010188621,
0.1255,0.0062111458,
0.12575,-0.0066440562,
0.126,-0.0034208372,
0.12625,-0.0066674319,
0.1265,-0.0006985763,
0.12675,0.0008401108,
0.127,-0.0111714080,
0.12725,-0.0056019104,
0.1275,-0.0014094419,
0.12775,-0.0129856262,
0.128,-0.0157136377,
0.12825,-0.0136339832,
0.1285,-0.0065315510,
0.12875,-0.0069460091,
0.129,-0.0146531602,
0.12925,-0.0055400319,
0.1295,-0.0019401360,
0.12975,-0.0086347973,
0.13,-0.0103039574,
0.13025,-0.0047024232,
0.1305,-0.0018801682,
0.13075,-0.0134838689,
0.131,-0.0147233270,
0.13125,-0.0012649337,
0.1315,-0.0045393445,
0.13175,-0.0060097431,
0.132,-0.0019968459,
0.13225,0.0010810741,
0.1325,0.0021794182,
0.13275,-0.0020311205,
0.133,-0.0013985971,
0.13325,0.0058301375,
0.1335,-0.0027160372,
0.13375,-0.0064595239,
0.134,-0.0005392467,
0.13425,-0.0012525542,
0.1345,-0.0056441408,
0.13475,-0.0051399739,
0.135,-0.0010549647,
0.13525,-0.0035301950,
0.1355,-0.0035773162,
0.13575,0.0012291891,
0.136,-0.0002907162,
0.13625,0.0088056000,
0.1365,0.0050707702,
0.13675,-0.0029084974,
0.137,0.0063371947,
0.13725,0.0023700772,
0.1375,-0.0016488542,
0.13775,0.0009127897,
0.138,0.0036441516,
0.13825,0.0098958407,
0.1385,0.0045102085,
0.13875,0.0045859287,
0.139,0.0207905639,
0.13925,0.0168352164,
0.1395,0.0064159092,
0.13975,0.0065163318,
0.14,0.0095740948,
0.14025,0.0110545848,
0.1405,0.0040742052,
0.14075,0.0085981786,
0.141,0.0234025940,
0.14125,0.0105487546,
0.1415,0.0096115964,
0.14175,0.0133159794,
0.142,0.0185767617,
0.14225,0.0100853285,
0.1425,0.0007444681,
0.14275,0.0105174175,
0.143,0.0207734630,
0.14325,0.0048337649,
0.1435,0.0140321814,
0.14375,0.0174388308,
0.144,0.0122714657,
0.14425,0.0105997324,
0.1445,-0.0006678381,
0.14475,0.0085254693,
0.145,0.0058197677,
0.14525,-0.0007147118,
0.1455,0.0096258977,
0.14575,0.0111233303,
0.146,0.0050005950,
0.14625,0.0132276919,
0.1465,0.0110813929,
0.14675,0.0125306286,
0.147,0.0064568268,
0.14725,0.0045136074,
0.1475,0.0020403389,
0.14775,-0.0018016889,
0.148,0.0012250700,
0.14825,0.0055423239,
0.1485,0.0031251924,
0.14875,0.0056615584,
0.149,0.0056723063,
0.14925,0.0065008383,
0.1495,0.0095794313,
0.14975,0.0041424818,
0.15,0.0070734667,
0.15025,0.0022400441,
0.1505,-0.0016512915,
0.15075,0.0072833314,
0.151,-0.0000392380,
0.15125,0.0002485929,
0.1515,0.0041288091,
0.15175,0.0035446142,
0.152,0.0025248164,
0.15225,0.0010800639,
0.1525,0.0037747736,
0.15275,0.0063169645,
0.153,-0.0001880970,
0.15325,-0.0002866440,
0.1535,0.0046132710,
0.15375,-0.0030005500,
0.154,-0.0045413431,
0.15425,-0.0049356101,
0.1545,-0.0026751398,
0.15475,-0.0048610782,
0.155,-0.0083692493,
0.15525,-0.0040842113,
0.1555,-0.0028695576,
0.15575,-0.0030991596,
0.156,-0.0042043589,
0.15625,-0.0082579339,
0.1565,-0.0074204202,
0.15675,-0.0102712382,
0.157,-0.0111720711,
0.15725,-0.0071561625,
0.1575,-0.0096049216,
0.15775,-0.0101147033,
0.158,-0.0117527954,
0.15825,-0.0157767050,
0.1585,-0.0100251809,
0.15875,-0.0145076392,
0.159,-0.0219015125,
0.15925,-0.0137066608,
0.1595,-0.0147553058,
0.15975,-0.0134036969,
0.16,-0.0139907571,
0.16025,-0.0098899417,
0.1605,-0.0096656866,
0.16075,-0.0189994611,
0.161,-0.0136963800,
0.16125,-0.0150681185,
0.1615,-0.0217387602,
0.16175,-0.0204734504,
0.162,-0.0171379074,
0.16225,-0.0096908845,
0.1625,-0.0148769561,
0.16275,-0.0147595666,
0.163,-0.0067463848,
0.16325,-0.0128505332,
0.1635,-0.0152643193,
0.16375,-0.0143668288,
0.164,-0.0173646249,
0.16425,-0.0184979737,
0.1645,-0.0198902376,
0.16475,-0.0203804113,
0.165,-0.0070601171,
0.16525,-0.0105252378,
0.1655,-0.0123133194,
0.16575,-0.0069581000,
0.166,-0.0064642890,
0.16625,-0.0014152550,
0.1665,-0.0088214148,
0.16675,-0.0088810297,
0.167,0.0011615279,
0.16725,-0.0090948204,
0.1675,-0.0111432746,
0.16775,-0.0021863703,
0.168,-0.0031976490,
0.16825,-0.0051548043,
0.1685,-0.0053572007,
0.16875,-0.0005085799,
0.169,0.0037291993,
0.16925,-0.0024964660,
0.1695,0.0041793231,
0.16975,0.0077889888,
0.17,0.0042604301,
0.17025,0.0023243453,
0.1705,0.0006664839,
0.17075,0.0008621130,
0.171,0.0057737227,
0.17125,-0.0000260111,
0.1715,0.0017255757,
0.17175,0.0049785767,
0.172,0.0038815779,
0.17225,0.0040872772,
0.1725,0.0089156469,
0.17275,0.0066702282,
0.173,0.0053169942,
0.17325,0.0001934361,
0.1735,-0.0009940409,
0.17375,0.0059920512,
0.174,0.0057948013,
0.17425,-0.0004376100,
0.1745,0.0038631612,
0.17475,0.0101021267,
0.175,0.0038423804,
0.17525,0.0003623292,
0.1755,0.0063509117,
0.17575,0.0071225278,
0.176,0.0018447182,
0.17625,-0.0002472016,
0.1765,0.0119278030,
0.17675,0.0120649161,
0.177,0.0028165532,
0.17725,0.0072974032,
0.1775,0.0082435980,
0.17775,0.0078153135,
0.178,-0.0039692731,
0.17825,-0.0008287920,
0.1785,0.0063051861,
0.17875,0.0053973440,
0.179,0.0002716866,
0.17925,0.0057192016,
0.1795,0.0087498631,
0.17975,0.0110262549,
0.18,0.0014340391,
0.18025,0.0044599227,
0.1805,0.0124889426,
0.18075,0.0004618591,
0.181,-0.0088480469,
0.18125,0.0068264026,
0.1815,0.0026594664,
0.18175,0.0080826161,
0.182,-0.0011294271,
0.18225,0.0031088244,
0.1825,0.0111507811,
0.18275,-0.0005854301,
0.183,-0.0009167970,
