Date,2020-12-23 11:04:42
Filename,STFMK-20201105-LW25-4575_20201223_110442_004.dat
Data Label,베어링불량
Label_No,01
Motor Spec,L-EF-02, 1755,3.7, 7.6,
Period,3SEC
Sample Rate,4000
RMS,0.006732,
Data Length,12000,
0,0.0016269768,
0.00025,-0.0038883768,
0.0005,0.0045209867,
0.00075,0.0043600388,
0.001,-0.0074311527,
0.00125,-0.0063308217,
0.0015,0.0051473770,
0.00175,0.0010776555,
0.002,-0.0131066591,
0.00225,-0.0023835469,
0.0025,0.0077203051,
0.00275,-0.0035203851,
0.003,-0.0109580355,
0.00325,-0.0032335268,
0.0035,0.0093353800,
0.00375,-0.0033323928,
0.004,-0.0111529566,
0.00425,0.0001929173,
0.0045,0.0082940618,
0.00475,-0.0046415604,
0.005,-0.0163966399,
0.00525,0.0026283781,
0.0055,0.0061051929,
0.00575,-0.0080026090,
0.006,-0.0046214084,
0.00625,0.0030177468,
0.0065,0.0056122495,
0.00675,-0.0066073583,
0.007,-0.0069826217,
0.00725,-0.0014019263,
0.0075,-0.0036068701,
0.00775,-0.0002104579,
0.008,-0.0011438866,
0.00825,0.0011124692,
0.0085,-0.0038338015,
0.00875,-0.0061163371,
0.009,0.0021119001,
0.00925,0.0016069063,
0.0095,-0.0101328352,
0.00975,-0.0004414572,
0.01,0.0079648448,
0.01025,0.0032184531,
0.0105,-0.0131453872,
0.01075,0.0048861890,
0.011,0.0088322824,
0.01125,-0.0058800164,
0.0115,-0.0054585664,
0.01175,0.0058671199,
0.012,0.0114114583,
0.01225,-0.0037031409,
0.0125,-0.0067239017,
0.01275,0.0121070920,
0.013,0.0110036051,
0.01325,-0.0028546248,
0.0135,-0.0029320351,
0.01375,0.0194552615,
0.014,0.0126337269,
0.01425,-0.0002901482,
0.0145,0.0069441069,
0.01475,0.0145476814,
0.015,0.0055488246,
0.01525,-0.0003023874,
0.0155,0.0037574549,
0.01575,0.0049420074,
0.016,0.0015870762,
0.01625,0.0015084347,
