Date,2020-11-25 15:34:06
Filename,STFMK-20201105-LW25-4575_20201125_153406_004.dat
Data Label,정상
Label_No,00
Motor Spec,L-EF-02, 1755,3.7, 7.6,
Period,3SEC
Sample Rate,4000
RMS,0.006207,
Data Length,12000,
0,-0.0000435608,
0.00025,-0.0005815214,
0.0005,-0.0010438873,
0.00075,-0.0087745208,
0.001,-0.0031917633,
0.00125,-0.0013994474,
0.0015,-0.0048338817,
0.00175,-0.0019350856,
0.002,0.0047226753,
0.00225,0.0057357685,
0.0025,-0.0078697512,
0.00275,-0.0007218615,
0.003,0.0043642111,
0.00325,0.0008621626,
0.0035,-0.0076812855,
0.00375,-0.0041603409,
0.004,0.0070243115,
0.00425,-0.0016621569,
0.0045,-0.0079639591,
0.00475,0.0021448368,
0.005,0.0118519189,
0.00525,-0.0011882565,
0.0055,-0.0126568088,
0.00575,0.0004894963,
0.006,0.0053421506,
0.00625,-0.0018460961,
0.0065,-0.0036893794,
0.00675,0.0016868270,
0.007,-0.0000816859,
0.00725,-0.0051273741,
0.0075,-0.0020046581,
0.00775,0.0008230603,
0.008,0.0010193706,
0.00825,0.0002248345,
0.0085,-0.0015623684,
0.00875,0.0006211986,
0.009,-0.0055588414,
0.00925,-0.0000325186,
0.0095,0.0061770584,
0.00975,-0.0062421034,
0.01,-0.0069619641,
0.01025,0.0024297449,
0.0105,0.0045912000,
0.01075,-0.0037077619,
0.011,-0.0102371238,
0.01125,0.0054019280,
0.0115,-0.0003869734,
0.01175,-0.0106773349,
0.012,-0.0063172281,
0.01225,0.0021680733,
0.0125,0.0056946501,
0.01275,-0.0071298941,
0.013,-0.0051865429,
0.01325,0.0106101818,
0.0135,0.0071325367,
0.01375,-0.0076365201,
0.014,-0.0048391717,
0.01425,0.0099489549,
0.0145,-0.0003940705,
0.01475,0.0019016066,
0.015,0.0026106578,
0.01525,0.0027426756,
0.0155,0.0028984831,
0.01575,-0.0025437619,
0.016,0.0013911412,
0.01625,0.0022108869,
0.0165,-0.0016100751,
0.01675,-0.0024998095,
0.017,-0.0017860836,
0.01725,-0.0071811453,
0.0175,-0.0111177322,
0.01775,0.0052210731,
0.018,-0.0041611958,
0.01825,-0.0045804735,
0.0185,-0.0044619315,
0.01875,0.0019757557,
0.019,0.0009176705,
0.01925,-0.0120412847,
0.0195,-0.0058497135,
0.01975,0.0054592597,
0.02,-0.0048647216,
0.02025,-0.0135925980,
0.0205,-0.0008719997,
0.02075,0.0044277771,
0.021,-0.0019188405,
0.02125,-0.0099086985,
0.0215,-0.0018191106,
0.02175,0.0056006555,
0.022,0.0011465437,
0.02225,-0.0154480636,
0.0225,-0.0005848427,
0.02275,0.0050388658,
0.023,-0.0079527991,
0.02325,-0.0036388966,
0.0235,0.0003191805,
0.02375,-0.0059053539,
0.024,0.0012640031,
0.02425,-0.0066539617,
0.0245,-0.0001947657,
0.02475,-0.0043435325,
0.025,-0.0024223425,
0.02525,0.0004370763,
0.0255,0.0003834887,
0.02575,-0.0060753683,
0.026,-0.0037328925,
0.02625,0.0029375392,
0.0265,-0.0033284673,
0.02675,-0.0070843757,
0.027,0.0024250699,
0.02725,0.0030458302,
0.0275,0.0008796394,
0.02775,-0.0112098036,
0.028,-0.0002419745,
0.02825,0.0087420363,
0.0285,-0.0075144144,
0.02875,-0.0067873630,
0.029,0.0010547173,
0.02925,0.0088255024,
0.0295,-0.0049829627,
0.02975,-0.0096410783,
0.03,0.0044378662,
0.03025,0.0068959012,
0.0305,-0.0043765684,
0.03075,-0.0113531109,
0.031,0.0074234814,
0.03125,0.0057200952,
0.0315,-0.0053397841,
0.03175,-0.0013086204,
0.032,-0.0019435796,
0.03225,0.0016746334,
0.0325,-0.0021977476,
0.03275,-0.0034894580,
0.033,-0.0005369614,
0.03325,-0.0061902874,
0.0335,-0.0048087155,
0.03375,0.0026769817,
0.034,-0.0038834917,
0.03425,-0.0032567065,
0.0345,-0.0018449040,
0.03475,0.0042111571,
0.035,-0.0049887765,
0.03525,-0.0065207225,
0.0355,-0.0017273810,
0.03575,0.0014348828,
0.036,-0.0073685711,
0.03625,-0.0091643613,
0.0365,0.0053389347,
0.03675,0.0077618076,
0.037,-0.0097363768,
0.03725,-0.0079863314,
0.0375,0.0004487394,
0.03775,0.0044842307,
0.038,-0.0084577650,
0.03825,-0.0058784112,
0.0385,0.0054619769,
0.03875,0.0028568432,
0.039,-0.0076304465,
0.03925,-0.0038924585,
0.0395,0.0110053727,
0.03975,0.0031074591,
0.04,-0.0009672833,
0.04025,-0.0060505895,
0.0405,-0.0023391491,
0.04075,-0.0049046772,
0.041,0.0007262604,
0.04125,0.0002644504,
0.0415,-0.0038037212,
0.04175,-0.0040445845,
0.042,-0.0003294449,
0.04225,0.0041663931,
0.0425,-0.0027928746,
0.04275,-0.0052380385,
0.043,-0.0003905668,
0.04325,-0.0009023596,
0.0435,-0.0125575699,
0.04375,-0.0068196538,
0.044,0.0074439803,
0.04425,0.0028706214,
0.0445,-0.0069448263,
0.04475,-0.0040178583,
0.045,0.0121108545,
0.04525,0.0016446980,
0.0455,-0.0098001072,
0.04575,0.0042749518,
0.046,0.0133285802,
0.04625,0.0014799691,
0.0465,-0.0098933317,
0.04675,0.0025678470,
0.047,0.0137567483,
0.04725,0.0017678662,
0.0475,-0.0022007045,
0.04775,0.0068857316,
0.048,0.0118108038,
0.04825,-0.0002872558,
0.0485,-0.0005455141,
0.04875,0.0007656796,
0.049,0.0023815255,
0.04925,0.0006542298,
0.0495,0.0044764681,
0.04975,0.0017526390,
0.05,-0.0033286444,
0.05025,-0.0030779538,
0.0505,0.0054468438,
0.05075,0.0003156217,
0.051,-0.0065605477,
0.05125,-0.0010025244,
0.0515,0.0053682821,
0.05175,-0.0007562752,
0.052,-0.0068907691,
0.05225,0.0003415578,
0.0525,0.0101850908,
0.05275,-0.0019571411,
0.053,-0.0085571837,
0.05325,0.0018394820,
0.0535,0.0066966028,
0.05375,-0.0089022378,
0.054,-0.0144502809,
0.05425,0.0017541132,
0.0545,0.0020966704,
0.05475,-0.0014448871,
0.055,-0.0059251818,
0.05525,0.0076973904,
0.0555,0.0077927555,
0.05575,-0.0059306081,
0.056,-0.0053222151,
0.05625,0.0030649642,
0.0565,0.0003026125,
0.05675,-0.0033085220,
0.057,-0.0043714782,
0.05725,-0.0026739507,
0.0575,-0.0002386592,
0.05775,0.0014139236,
0.058,0.0019230262,
0.05825,-0.0005300239,
0.0585,-0.0052150786,
0.05875,-0.0008227374,
0.059,0.0034671095,
0.05925,-0.0053531583,
0.0595,-0.0105519975,
0.05975,-0.0048304969,
0.06,0.0043844939,
0.06025,-0.0029931273,
0.0605,-0.0080042882,
0.06075,0.0064425925,
0.061,0.0060342243,
0.06125,-0.0086195627,
0.0615,-0.0092136050,
0.06175,0.0021542292,
0.062,0.0073339180,
0.06225,-0.0114407660,
0.0625,-0.0093931938,
0.06275,0.0127454186,
0.063,0.0019146042,
0.06325,-0.0047638086,
0.0635,-0.0053476756,
0.06375,0.0098746130,
0.064,0.0058258888,
0.06425,-0.0079559078,
0.0645,0.0000569245,
0.06475,0.0094043482,
0.065,0.0081496891,
0.06525,-0.0034014187,
0.0655,-0.0001545989,
0.06575,0.0033309732,
