Date,2020-11-26 16:22:31
Filename,STFMK-20201105-LW19-2502_20201126_162231_004.dat
Data Label,정상
Label_No,00
Motor Spec,L-PAC-01, 1750,3.7, 13.2,
Period,3SEC
Sample Rate,4000
RMS,0.006515,
Data Length,12000,
0,-0.0024817067,
0.00025,-0.0046064621,
0.0005,-0.0017566122,
0.00075,-0.0114051178,
0.001,0.0041072909,
0.00125,0.0123392381,
0.0015,0.0063215485,
0.00175,0.0031409236,
0.002,0.0000148269,
0.00225,-0.0070300587,
0.0025,0.0008771108,
0.00275,0.0053541409,
0.003,-0.0003024758,
0.00325,-0.0114662861,
0.0035,-0.0033172113,
0.00375,-0.0128455097,
0.004,-0.0158573091,
0.00425,-0.0015681802,
0.0045,-0.0020386067,
0.00475,-0.0026154299,
0.005,-0.0079689464,
0.00525,0.0072652055,
0.0055,0.0052495189,
0.00575,-0.0019858996,
0.006,0.0041247658,
0.00625,-0.0082546696,
0.0065,-0.0056440639,
0.00675,0.0019938974,
0.007,-0.0013196338,
0.00725,0.0033052145,
0.0075,-0.0051654084,
0.00775,-0.0103987586,
0.008,-0.0080715138,
0.00825,0.0064326525,
0.0085,-0.0022702469,
0.00875,0.0009392684,
0.009,0.0005716699,
0.00925,-0.0102158831,
0.0095,0.0034868426,
0.00975,0.0051124403,
0.01,0.0017867768,
0.01025,-0.0071164086,
0.0105,-0.0054960041,
0.01075,-0.0015623344,
0.011,0.0021084608,
0.01125,0.0129554849,
0.0115,0.0073389169,
0.01175,-0.0021237298,
0.012,-0.0026919788,
0.01225,0.0000183430,
0.0125,0.0007199449,
0.01275,0.0064338986,
0.013,0.0077750091,
0.01325,0.0070305546,
0.0135,0.0092533734,
0.01375,0.0098737972,
0.014,0.0047568036,
0.01425,0.0028814594,
0.0145,-0.0029364591,
0.01475,-0.0051347888,
0.015,0.0054996097,
0.01525,0.0167642701,
0.0155,0.0092980247,
0.01575,0.0138989463,
0.016,0.0046434384,
0.01625,-0.0061915605,
0.0165,0.0009115267,
0.01675,-0.0028569822,
0.017,0.0054812776,
0.01725,0.0069369054,
0.0175,0.0038774519,
0.01775,0.0006802041,
0.018,-0.0027641449,
0.01825,0.0032060591,
0.0185,-0.0049094898,
0.01875,0.0027619344,
0.019,0.0031510741,
0.01925,-0.0011737960,
0.0195,0.0043957718,
0.01975,0.0095385704,
