Date,2020-12-24 17:54:52
Filename,STFMK-20201105-LW19-2502_20201224_175452_004.dat
Data Label,회전체불평형
Label_No,02
Motor Spec,L-PAC-01, 1750,3.7, 13.2,
Period,3SEC
Sample Rate,4000
RMS,0.007673,
Data Length,12000,
0,0.0103072627,
0.00025,-0.0007173128,
0.0005,-0.0054826615,
0.00075,-0.0030341290,
0.001,0.0039339755,
0.00125,0.0001742188,
0.0015,0.0021066871,
0.00175,-0.0013133343,
0.002,-0.0023157664,
0.00225,0.0016067482,
0.0025,-0.0078216083,
0.00275,-0.0093165636,
0.003,-0.0135602523,
0.00325,-0.0230172668,
0.0035,-0.0025826641,
0.00375,0.0028919242,
0.004,0.0009279107,
0.00425,-0.0034417203,
0.0045,-0.0020086861,
0.00475,-0.0071992772,
0.005,-0.0007298581,
0.00525,0.0130108055,
0.0055,0.0056024017,
0.00575,0.0061101932,
0.006,-0.0029274065,
0.00625,-0.0067728050,
0.0065,-0.0002133396,
0.00675,0.0020310069,
0.007,0.0049163736,
0.00725,-0.0034588904,
0.0075,-0.0003238020,
0.00775,0.0037029572,
0.008,0.0067690238,
0.00825,0.0025191586,
0.0085,-0.0012911125,
0.00875,-0.0077629224,
0.009,-0.0110718161,
0.00925,-0.0029864165,
0.0095,-0.0061357897,
0.00975,0.0075140689,
0.01,-0.0010669883,
0.01025,-0.0013615303,
0.0105,0.0039440482,
0.01075,0.0016594708,
0.011,-0.0085068010,
0.01125,-0.0076757749,
0.0115,0.0004630677,
0.01175,-0.0048119212,
0.012,0.0020019985,
0.01225,0.0114893997,
0.0125,0.0027352232,
0.01275,-0.0050520431,
0.013,-0.0100773424,
0.01325,-0.0142781166,
0.0135,-0.0069188345,
0.01375,0.0052065970,
0.014,0.0054994896,
0.01425,0.0077671176,
0.0145,-0.0012435764,
0.01475,-0.0010220087,
0.015,-0.0032100754,
0.01525,0.0003455364,
0.0155,0.0072252988,
0.01575,-0.0029087088,
0.016,0.0064682756,
0.01625,-0.0003694889,
0.0165,-0.0042526359,
0.01675,-0.0081543121,
0.017,-0.0060478365,
0.01725,0.0002489485,
0.0175,0.0050341855,
0.01775,0.0073226686,
0.018,0.0122951632,
0.01825,0.0114431316,
0.0185,0.0018861123,
0.01875,-0.0071028508,
0.019,0.0045387228,
0.01925,0.0043124538,
0.0195,0.0022186879,
0.01975,0.0118869804,
0.02,0.0047973022,
0.02025,-0.0015886920,
0.0205,-0.0106427437,
0.02075,-0.0051479600,
0.021,-0.0055098338,
0.02125,0.0034011248,
0.0215,0.0017628986,
0.02175,0.0000143646,
0.022,-0.0054408377,
0.02225,-0.0002496093,
0.0225,0.0022389516,
0.02275,0.0026681551,
0.023,0.0029998608,
0.02325,-0.0048352308,
0.0235,-0.0040898467,
0.02375,0.0046835891,
0.024,0.0065517523,
0.02425,0.0012178618,
0.0245,0.0014547459,
0.02475,0.0006476342,
0.025,-0.0032183658,
0.02525,-0.0032564215,
0.0255,0.0049445787,
0.02575,0.0031488845,
0.026,0.0082492763,
0.02625,0.0029536723,
0.0265,-0.0026899637,
0.02675,0.0018751762,
0.027,0.0020536087,
0.02725,0.0019227464,
0.0275,0.0163283646,
0.02775,0.0150295291,
0.028,0.0046575479,
0.02825,0.0051460904,
0.0285,0.0066898176,
0.02875,-0.0056885062,
0.029,0.0065258606,
0.02925,0.0070740147,
0.0295,0.0042411089,
0.02975,0.0112788230,
0.03,0.0073270416,
0.03025,-0.0020791988,
0.0305,-0.0019973442,
0.03075,0.0031272531,
0.031,-0.0098780720,
0.03125,-0.0206726901,
0.0315,0.0108405212,
0.03175,-0.0290219393,
0.032,-0.0095316898,
0.03225,-0.0275517292,
0.0325,-0.0218921527,
0.03275,-0.0195840150,
0.033,-0.0314970724,
0.03325,-0.0068728370,
0.0335,-0.0323745273,
0.03375,-0.0119682364,
0.034,-0.0072690826,
0.03425,-0.0148896985,
0.0345,-0.0153022688,
0.03475,-0.0085289227,
0.035,-0.0208425298,
0.03525,-0.0129211638,
0.0355,0.0045067109,
0.03575,0.0030027132,
0.036,0.0025179544,
0.03625,0.0017370854,
0.0365,-0.0195487309,
0.03675,-0.0030957432,
0.037,0.0028493742,
0.03725,0.0025254532,
0.0375,0.0029303324,
0.03775,-0.0040482497,
0.038,-0.0134253390,
0.03825,-0.0097336397,
0.0385,0.0038860741,
0.03875,0.0040503517,
0.039,0.0016565227,
0.03925,-0.0065168496,
0.0395,-0.0029648505,
0.03975,0.0007299093,
0.04,-0.0016337627,
0.04025,-0.0034114418,
0.0405,-0.0092360219,
0.04075,-0.0026683509,
0.041,-0.0052297618,
0.04125,-0.0056142053,
0.0415,-0.0000020097,
0.04175,0.0012045024,
0.042,-0.0063655982,
0.04225,-0.0021727961,
0.0425,-0.0034541017,
0.04275,-0.0095078461,
0.043,-0.0044034575,
0.04325,0.0006860311,
0.0435,-0.0135655850,
0.04375,0.0008999531,
0.044,-0.0061499909,
0.04425,-0.0146581978,
0.0445,-0.0127034904,
0.04475,-0.0032233226,
0.045,-0.0045954338,
0.04525,-0.0015942794,
0.0455,0.0098265987,
0.04575,0.0038881735,
0.046,0.0000789789,
0.04625,0.0004043728,
0.0465,-0.0101452898,
0.04675,-0.0098455735,
0.047,0.0059329211,
0.04725,0.0010690377,
0.0475,0.0122798085,
0.04775,0.0123412609,
0.048,0.0036008493,
0.04825,0.0020714579,
0.0485,0.0013404423,
0.04875,0.0069875829,
0.049,0.0000511062,
0.04925,0.0056848093,
0.0495,0.0136774071,
0.04975,0.0049586929,
0.05,-0.0012691130,
0.05025,0.0000500396,
0.0505,-0.0111612529,
0.05075,0.0007214095,
0.051,0.0022915807,
0.05125,0.0210726410,
0.0515,0.0091175195,
0.05175,0.0049103498,
0.052,0.0004871442,
0.05225,-0.0110273426,
0.0525,0.0068691922,
0.05275,0.0020412803,
0.053,0.0032160499,
0.05325,0.0027595507,
0.0535,-0.0054237205,
0.05375,-0.0003811182,
0.054,0.0014256401,
0.05425,0.0055935737,
0.0545,0.0026737116,
0.05475,-0.0043826140,
0.055,-0.0030747238,
0.05525,-0.0043668896,
0.0555,0.0089865290,
0.05575,0.0006210035,
0.056,-0.0000236257,
0.05625,0.0031491832,
0.0565,-0.0076572294,
0.05675,-0.0007187801,
0.057,0.0098062530,
0.05725,0.0097182151,
0.0575,0.0015359354,
0.05775,0.0004371274,
0.058,0.0102976514,
0.05825,-0.0090377694,
0.0585,-0.0091110831,
0.05875,-0.0050115963,
0.059,0.0056008627,
0.05925,0.0065073371,
0.0595,0.0151976626,
0.05975,0.0093593467,
0.06,0.0040931124,
0.06025,0.0036952945,
0.0605,-0.0039013303,
0.06075,0.0046338607,
0.061,0.0022537760,
0.06125,-0.0080145113,
0.0615,0.0028744866,
0.06175,0.0015202233,
0.062,-0.0035009799,
0.06225,-0.0039709751,
0.0625,0.0052540819,
0.06275,-0.0026829934,
0.063,0.0046218070,
0.06325,0.0122651346,
0.0635,0.0079504196,
0.06375,0.0069705052,
0.064,0.0083040157,
0.06425,0.0004416482,
0.0645,-0.0029049227,
0.06475,-0.0004548760,
0.065,-0.0007795016,
0.06525,0.0015192919,
0.0655,0.0099157402,
0.06575,0.0153514976,
0.066,0.0021518669,
0.06625,-0.0072918702,
0.0665,-0.0037062224,
0.06675,-0.0075447257,
0.067,-0.0041594342,
0.06725,0.0040905774,
0.0675,0.0093957093,
0.06775,-0.0165235233,
0.068,-0.0129317399,
0.06825,-0.0266461167,
0.0685,-0.0186742526,
0.06875,-0.0057392530,
0.069,-0.0072100298,
0.06925,-0.0067938212,
0.0695,-0.0048203585,
0.06975,-0.0220087022,
0.07,-0.0182692520,
0.07025,-0.0052113594,
0.0705,-0.0111779217,
0.07075,-0.0085348552,
0.071,-0.0020231565,
0.07125,-0.0019872028,
0.0715,-0.0036277003,
0.07175,0.0059884237,
0.072,-0.0067989207,
0.07225,-0.0062552197,
0.0725,-0.0043146447,
0.07275,-0.0039442158,
0.073,-0.0002618970,
0.07325,0.0046697557,
0.0735,0.0007097123,
0.07375,-0.0073811188,
0.074,-0.0052251229,
0.07425,0.0015099515,
0.0745,-0.0026770912,
0.07475,0.0093532065,
0.075,0.0144054638,
0.07525,0.0068572122,
0.0755,-0.0008389001,
0.07575,0.0035332816,
0.076,0.0028059152,
0.07625,0.0053865006,
0.0765,0.0109701902,
0.07675,0.0020609768,
0.077,0.0021460620,
0.07725,0.0109845940,
0.0775,-0.0029416606,
0.07775,0.0041520805,
0.078,0.0034572815,
0.07825,-0.0058881915,
0.0785,0.0047126180,
0.07875,0.0100697987,
0.079,0.0066653788,
0.07925,-0.0027385382,
0.0795,-0.0035176754,
0.07975,-0.0123517355,
0.08,-0.0127492119,
0.08025,0.0035508538,
0.0805,-0.0015472998,
0.08075,-0.0076007163,
0.081,-0.0025970484,
0.08125,0.0029840737,
0.0815,-0.0047752736,
0.08175,-0.0067778109,
0.082,-0.0103488080,
0.08225,-0.0166518427,
0.0825,-0.0115854209,
0.08275,0.0036756331,
0.083,0.0017539806,
0.08325,0.0045657428,
0.0835,0.0100854887,
0.08375,0.0034375410,
