Date,2020-12-24 11:06:52
Filename,STFMK-20201105-LW14-9625_20201224_110652_004.dat
Data Label,벨트느슨함
Label_No,04
Motor Spec,L-SF-01, 1765,5.5, 11.1,
Period,3SEC
Sample Rate,4000
RMS,0.003448,
Data Length,12000,
0,0.0057214317,
0.00025,0.0054014842,
0.0005,0.0060332650,
0.00075,0.0051458795,
0.001,0.0035349091,
0.00125,0.0035777683,
0.0015,0.0018132792,
0.00175,0.0011757886,
0.002,0.0048006889,
0.00225,0.0069674365,
0.0025,0.0052088131,
0.00275,-0.0000344138,
0.003,0.0022070259,
0.00325,0.0021416792,
0.0035,0.0030449240,
0.00375,0.0013563655,
0.004,0.0047467384,
0.00425,0.0054913573,
0.0045,0.0052822065,
0.00475,0.0041320994,
0.005,0.0020483425,
0.00525,0.0025900365,
0.0055,0.0054353387,
0.00575,0.0019273008,
0.006,-0.0006265757,
0.00625,0.0017941277,
0.0065,0.0027978874,
0.00675,0.0019216484,
0.007,0.0009005163,
0.00725,0.0025738135,
0.0075,0.0058490587,
0.00775,0.0066279424,
0.008,0.0034585551,
0.00825,0.0045001833,
0.0085,0.0071271555,
0.00875,0.0073874015,
0.009,0.0041334778,
0.00925,0.0029484932,
0.0095,0.0050212182,
0.00975,0.0062245065,
0.01,0.0007291823,
0.01025,0.0040136701,
0.0105,0.0059171077,
0.01075,0.0069847731,
0.011,0.0010756092,
0.01125,0.0000840575,
0.0115,0.0025489542,
0.01175,0.0039165835,
0.012,0.0016101256,
0.01225,0.0022434981,
0.0125,0.0069698994,
0.01275,0.0062974445,
0.013,0.0030018433,
0.01325,0.0027096034,
0.0135,0.0036606323,
0.01375,0.0021375935,
0.014,0.0020077443,
0.01425,0.0008784863,
0.0145,0.0012084614,
0.01475,-0.0000592040,
0.015,-0.0002991788,
0.01525,0.0025616568,
0.0155,0.0015837414,
0.01575,0.0061361147,
0.016,0.0066718278,
0.01625,0.0048213471,
0.0165,0.0022049369,
0.01675,0.0029040994,
0.017,0.0072046993,
0.01725,0.0037683626,
0.0175,0.0030025793,
0.01775,0.0073751053,
0.018,0.0086727235,
0.01825,0.0027674767,
0.0185,0.0013873529,
0.01875,0.0006953193,
0.019,0.0069849496,
0.01925,0.0031238943,
0.0195,0.0034361191,
0.01975,-0.0015248429,
0.02,0.0042692749,
0.02025,0.0017598406,
0.0205,0.0026393486,
0.02075,-0.0004132268,
0.021,0.0021205302,
0.02125,0.0031332907,
0.0215,0.0018013790,
0.02175,-0.0035708733,
0.022,-0.0046071131,
0.02225,-0.0030664422,
0.0225,-0.0019124013,
0.02275,-0.0040147970,
0.023,-0.0031548282,
0.02325,0.0003556259,
0.0235,-0.0005400827,
0.02375,-0.0006675503,
0.024,-0.0005438756,
0.02425,0.0020148216,
0.0245,0.0036983474,
0.02475,0.0008172481,
0.025,0.0013468828,
0.02525,0.0032595582,
0.0255,0.0007719695,
0.02575,-0.0020127280,
0.026,-0.0024545044,
0.02625,0.0019365510,
0.0265,0.0007607829,
0.02675,-0.0022302750,
0.027,-0.0013854208,
0.02725,0.0021602281,
0.0275,-0.0000029507,
0.02775,-0.0045835106,
