Date,2020-11-25 15:41:03
Filename,STFMK-20201105-LW14-9625_20201125_154103_004.dat
Data Label,정상
Label_No,00
Motor Spec,L-SF-01, 1765,5.5, 11.1,
Period,3SEC
Sample Rate,4000
RMS,0.003719,
Data Length,12000,
0,0.0009382901,
0.00025,0.0015432506,
0.0005,0.0024531893,
0.00075,0.0049083889,
0.001,0.0007266075,
0.00125,0.0003665946,
0.0015,0.0024447623,
0.00175,0.0058236574,
0.002,0.0037732886,
0.00225,0.0027756358,
0.0025,0.0041782549,
0.00275,0.0048889304,
0.003,0.0049469089,
0.00325,0.0042502270,
0.0035,0.0025342333,
0.00375,0.0051721861,
0.004,0.0026153224,
0.00425,0.0022820793,
0.0045,0.0002119905,
0.00475,0.0002791237,
0.005,0.0031266571,
0.00525,0.0023382728,
0.0055,0.0007205836,
0.00575,0.0037788912,
0.006,0.0018553030,
0.00625,0.0000217582,
0.0065,-0.0016438293,
0.00675,0.0025037103,
0.007,0.0039948891,
0.00725,-0.0007347148,
0.0075,-0.0008999740,
0.00775,0.0034496803,
0.008,0.0035602667,
0.00825,-0.0020945356,
0.0085,-0.0015453720,
0.00875,0.0015705940,
0.009,0.0053444291,
0.00925,0.0009119918,
0.0095,0.0012413821,
0.00975,0.0016898535,
0.01,0.0052171205,
0.01025,0.0045434441,
0.0105,0.0037903246,
0.01075,0.0022968834,
0.011,0.0066960724,
0.01125,0.0048373910,
0.0115,0.0022864980,
0.01175,0.0004128458,
0.012,0.0025558793,
0.01225,0.0018590088,
0.0125,0.0025559496,
0.01275,-0.0000364498,
0.013,0.0022560717,
0.01325,0.0016933588,
0.0135,0.0032838099,
0.01375,0.0006991391,
0.014,0.0027718067,
0.01425,0.0058188285,
0.0145,0.0050059538,
0.01475,0.0029188080,
0.015,0.0035652800,
0.01525,0.0017757739,
0.0155,0.0016192156,
0.01575,0.0012620847,
0.016,0.0015140986,
0.01625,0.0054825661,
0.0165,0.0041077589,
0.01675,0.0015334162,
0.017,0.0001896812,
0.01725,0.0016795628,
0.0175,-0.0001301103,
0.01775,-0.0011662962,
0.018,-0.0014199219,
0.01825,0.0034009540,
0.0185,0.0028113334,
0.01875,0.0023837897,
0.019,0.0021816855,
0.01925,0.0028897338,
0.0195,0.0034231665,
0.01975,0.0047763586,
0.02,0.0027270475,
0.02025,0.0044592647,
0.0205,0.0055056694,
0.02075,0.0063545154,
0.021,0.0020827351,
0.02125,0.0022783368,
0.0215,0.0005051080,
0.02175,0.0038217541,
0.022,0.0003864724,
0.02225,0.0001107832,
0.0225,0.0028460114,
0.02275,0.0047931676,
0.023,0.0018684971,
0.02325,0.0014051351,
0.0235,0.0026012589,
0.02375,0.0052514523,
0.024,0.0002700072,
0.02425,-0.0025450566,
0.0245,-0.0050126594,
0.02475,-0.0024098305,
0.025,-0.0003712817,
0.02525,-0.0053535411,
0.0255,-0.0038501981,
0.02575,-0.0022588745,
0.026,-0.0024976563,
0.02625,-0.0059731635,
0.0265,-0.0031138991,
0.02675,-0.0032973869,
0.027,0.0004109383,
0.02725,-0.0019091502,
0.0275,0.0001465759,
0.02775,-0.0001628859,
0.028,0.0003245575,
0.02825,-0.0037536668,
0.0285,-0.0020298623,
0.02875,-0.0013134279,
0.029,0.0022235787,
0.02925,-0.0015643403,
0.0295,-0.0015096290,
0.02975,-0.0002103518,
0.03,0.0028961031,
0.03025,0.0024472345,
0.0305,0.0031477096,
0.03075,0.0005162994,
0.031,0.0032312355,
0.03125,-0.0009756240,
0.0315,-0.0039182534,
0.03175,-0.0051570735,
0.032,0.0002049314,
0.03225,-0.0022135817,
0.0325,-0.0076256311,
0.03275,-0.0106498320,
0.033,-0.0067942962,
0.03325,-0.0070506511,
0.0335,-0.0093269106,
0.03375,-0.0125026982,
0.034,-0.0110169770,
0.03425,-0.0070633311,
0.0345,-0.0092818290,
0.03475,-0.0064383396,
0.035,-0.0072970642,
0.03525,-0.0058079646,
0.0355,-0.0064258645,
0.03575,-0.0051673567,
0.036,-0.0086842533,
0.03625,-0.0045994772,
0.0365,-0.0061477697,
0.03675,-0.0033925788,
0.037,-0.0051096594,
0.03725,-0.0012055044,
0.0375,0.0016270070,
0.03775,-0.0003775739,
0.038,-0.0031227395,
0.03825,0.0000715342,
0.0385,0.0004044827,
0.03875,0.0015859642,
0.039,-0.0005860658,
0.03925,0.0027087433,
0.0395,0.0010915450,
0.03975,-0.0018969242,
0.04,-0.0068399636,
0.04025,-0.0039267493,
0.0405,-0.0050042714,
0.04075,-0.0065019988,
0.041,-0.0125365248,
0.04125,-0.0072966372,
0.0415,-0.0012896182,
0.04175,-0.0020422216,
0.042,-0.0059223678,
0.04225,-0.0020919424,
0.0425,-0.0008557735,
0.04275,-0.0010159458,
0.043,-0.0044604130,
0.04325,-0.0022319991,
0.0435,0.0017395280,
0.04375,0.0017812732,
0.044,-0.0005657202,
0.04425,-0.0003113429,
0.0445,-0.0017110551,
0.04475,-0.0023461166,
0.045,-0.0046932371,
0.04525,-0.0093583679,
0.0455,-0.0059319856,
0.04575,-0.0054505756,
0.046,-0.0055245981,
0.04625,-0.0075855246,
0.0465,-0.0067665330,
0.04675,-0.0032387651,
0.047,-0.0008034550,
0.04725,-0.0028372556,
0.0475,0.0000705671,
0.04775,-0.0008367494,
0.048,-0.0027848410,
0.04825,-0.0049994998,
0.0485,-0.0031952979,
0.04875,-0.0035436898,
0.049,-0.0038067447,
0.04925,-0.0081863077,
0.0495,-0.0035359273,
0.04975,-0.0032128971,
0.05,-0.0016543398,
0.05025,-0.0045978054,
0.0505,-0.0019474297,
0.05075,-0.0010942195,
0.051,-0.0013149495,
0.05125,-0.0043109343,
0.0515,-0.0025123316,
0.05175,-0.0025028398,
0.052,-0.0039869621,
0.05225,-0.0065576187,
0.0525,-0.0029171407,
0.05275,-0.0043075709,
0.053,-0.0037810449,
0.05325,-0.0037728020,
0.0535,-0.0061559500,
0.05375,-0.0052419603,
0.054,-0.0029007415,
0.05425,-0.0027087596,
0.0545,-0.0041707600,
0.05475,-0.0047933268,
0.055,-0.0034905865,
0.05525,0.0002481967,
0.0555,-0.0038529588,
0.05575,-0.0047267810,
0.056,-0.0027217178,
0.05625,-0.0051608188,
0.0565,-0.0089169284,
0.05675,-0.0092747658,
0.057,-0.0085266689,
0.05725,-0.0055239904,
0.0575,-0.0088804979,
0.05775,-0.0088919736,
0.058,-0.0054798238,
0.05825,-0.0010970244,
0.0585,-0.0012890383,
0.05875,-0.0017259783,
0.059,-0.0055421521,
0.05925,-0.0022493624,
0.0595,-0.0037936503,
0.05975,-0.0041274084,
0.06,-0.0027684260,
0.06025,0.0009996052,
0.0605,0.0015956333,
0.06075,-0.0002160087,
0.061,-0.0015685977,
0.06125,0.0004784045,
0.0615,-0.0040382319,
0.06175,-0.0042873966,
0.062,-0.0079215057,
0.06225,-0.0035197781,
0.0625,-0.0020218715,
0.06275,-0.0039820289,
0.063,-0.0059530516,
0.06325,-0.0013470656,
0.0635,-0.0023917002,
0.06375,-0.0045617851,
0.064,-0.0050403858,
0.06425,-0.0038659663,
0.0645,-0.0027777138,
0.06475,-0.0056127855,
0.065,-0.0050532795,
0.06525,-0.0035977180,
0.0655,-0.0003300474,
0.06575,-0.0013910653,
0.066,-0.0037200586,
0.06625,-0.0035989333,
0.0665,0.0006190976,
0.06675,0.0012679989,
0.067,-0.0014210307,
0.06725,-0.0016591680,
0.0675,0.0008258424,
0.06775,-0.0009419982,
0.068,-0.0015778297,
0.06825,-0.0014737232,
0.0685,0.0016113489,
0.06875,0.0016491301,
0.069,0.0007834437,
0.06925,-0.0016885360,
0.0695,-0.0007487438,
0.06975,-0.0019074086,
0.07,0.0002875303,
0.07025,-0.0034322755,
0.0705,-0.0011324619,
0.07075,-0.0031431552,
0.071,0.0002521574,
0.07125,-0.0035429448,
0.0715,-0.0051502734,
0.07175,-0.0018360047,
0.072,0.0020003130,
0.07225,0.0012310845,
0.0725,-0.0016373473,
0.07275,-0.0008872571,
0.073,-0.0009400849,
0.07325,-0.0048399032,
0.0735,-0.0058370922,
0.07375,-0.0004375454,
0.074,0.0009944880,
0.07425,0.0013391291,
0.0745,0.0000402331,
0.07475,0.0035070991,
0.075,0.0058459635,
0.07525,0.0044790814,
0.0755,0.0013454376,
0.07575,0.0016725372,
0.076,0.0007085737,
0.07625,0.0007701375,
0.0765,-0.0015752029,
0.07675,-0.0001771345,
0.077,0.0022332419,
0.07725,0.0018709176,
0.0775,-0.0008961142,
0.07775,-0.0022248735,
0.078,-0.0014485347,
0.07825,-0.0015586736,
0.0785,-0.0041975915,
0.07875,-0.0065460992,
0.079,-0.0011554417,
0.07925,0.0002187169,
0.0795,-0.0008619544,
0.07975,-0.0015046465,
0.08,-0.0020628471,
0.08025,0.0009503769,
0.0805,0.0000237042,
0.08075,0.0005620899,
0.081,0.0011359510,
0.08125,0.0020458477,
0.0815,0.0005251500,
0.08175,0.0001355000,
0.082,-0.0021474718,
0.08225,0.0000937567,
0.0825,0.0009692335,
0.08275,-0.0003072948,
0.083,-0.0006942107,
0.08325,0.0006943442,
0.0835,0.0025957697,
0.08375,0.0014576112,
0.084,-0.0016454533,
0.08425,0.0011887433,
0.0845,0.0038006019,
0.08475,0.0024917999,
0.085,0.0038069522,
0.08525,0.0028763688,
0.0855,0.0055638617,
0.08575,0.0052126595,
0.086,0.0050977287,
0.08625,0.0044313874,
0.0865,0.0071770335,
0.08675,0.0052605355,
0.087,0.0033714485,
0.08725,0.0025603333,
0.0875,0.0063786185,
0.08775,0.0063056448,
0.088,0.0072458847,
0.08825,0.0052125594,
0.0885,0.0087986439,
0.08875,0.0084991986,
0.089,0.0103329364,
0.08925,0.0039916304,
0.0895,0.0056345570,
0.08975,0.0068723261,
0.09,0.0062159318,
0.09025,0.0028359503,
0.0905,0.0065627578,
0.09075,0.0090218587,
0.091,0.0044344361,
0.09125,0.0015798212,
0.0915,0.0036725986,
0.09175,0.0065282402,
0.092,0.0068290024,
0.09225,0.0019678834,
0.0925,-0.0004176365,
0.09275,0.0012598467,
0.093,0.0008991538,
0.09325,-0.0023752756,
0.0935,-0.0005842393,
0.09375,0.0027029472,
0.094,0.0019857353,
0.09425,-0.0018402156,
0.0945,0.0003937769,
0.09475,0.0006488195,
0.095,0.0007313379,
0.09525,-0.0011779504,
0.0955,-0.0029898505,
0.09575,0.0023324594,
0.096,0.0022990652,
0.09625,0.0033854963,
0.0965,-0.0013801397,
0.09675,0.0016868023,
0.097,0.0041137408,
0.09725,0.0060688108,
0.0975,0.0048289392,
0.09775,0.0074785580,
0.098,0.0043105315,
0.09825,0.0036645995,
0.0985,-0.0018509261,
0.09875,0.0015151065,
0.099,0.0037070087,
0.09925,0.0049087955,
0.0995,0.0042212526,
0.09975,0.0029029432,
0.1,0.0046738056,
0.10025,0.0045883246,
0.1005,0.0018092347,
0.10075,-0.0005669826,
0.101,0.0018996948,
0.10125,0.0048419898,
0.1015,0.0024270348,
0.10175,0.0003363505,
0.102,0.0001697728,
0.10225,0.0022014065,
0.1025,-0.0001340547,
0.10275,0.0020298315,
0.103,0.0028544387,
0.10325,0.0034549248,
0.1035,0.0022936091,
0.10375,0.0004200269,
0.104,-0.0032916979,
0.10425,0.0014039243,
0.1045,0.0019101658,
0.10475,-0.0008260710,
0.105,-0.0009081897,
0.10525,-0.0010305122,
0.1055,0.0021456550,
0.10575,0.0005083284,
0.106,-0.0007551257,
0.10625,0.0014124614,
0.1065,0.0014318851,
0.10675,0.0010282673,
0.107,-0.0006499082,
0.10725,-0.0001337859,
0.1075,0.0037924256,
0.10775,0.0015662505,
0.108,0.0013144026,
0.10825,0.0066293394,
0.1085,0.0086286506,
0.10875,0.0066720210,
0.109,0.0000908831,
0.10925,0.0000133910,
0.1095,0.0023004399,
0.10975,0.0004242624,
0.11,-0.0026531459,
0.11025,-0.0002426049,
0.1105,0.0023235895,
0.11075,0.0025750860,
0.111,0.0018002383,
0.11125,0.0021824429,
0.1115,0.0049274047,
0.11175,0.0064222449,
0.112,0.0026371798,
0.11225,0.0006891875,
0.1125,0.0032483356,
0.11275,0.0066212192,
0.113,0.0043700105,
0.11325,0.0036746566,
0.1135,0.0058407155,
0.11375,0.0072052958,
0.114,0.0072311428,
0.11425,0.0085172951,
0.1145,0.0048797773,
0.11475,0.0087881265,
0.115,0.0082310010,
0.11525,0.0058240630,
0.1155,0.0056383670,
0.11575,0.0063553303,
0.116,0.0073646391,
0.11625,0.0048691109,
0.1165,0.0045168716,
0.11675,0.0073328894,
0.117,0.0043025562,
0.11725,0.0013909384,
0.1175,0.0013159005,
0.11775,0.0023793962,
0.118,0.0013771770,
0.11825,-0.0000111012,
0.1185,-0.0005496072,
0.11875,0.0020007435,
0.119,0.0013830219,
0.11925,0.0002136597,
0.1195,0.0009932372,
0.11975,0.0036843654,
0.12,0.0039145132,
0.12025,0.0036962840,
0.1205,-0.0007119128,
0.12075,-0.0006010274,
0.121,0.0023198761,
0.12125,0.0056372322,
0.1215,0.0031481921,
0.12175,0.0034325116,
0.122,0.0065397220,
0.12225,0.0070197703,
0.1225,0.0052370625,
0.12275,0.0032035024,
0.123,0.0048669288,
0.12325,0.0070702415,
0.1235,0.0054747211,
0.12375,0.0022627458,
0.124,0.0033841098,
0.12425,0.0048496532,
0.1245,0.0046597696,
0.12475,0.0036889524,
0.125,0.0042778803,
0.12525,0.0057961419,
0.1255,0.0058983713,
0.12575,-0.0002992619,
0.126,-0.0022547636,
0.12625,-0.0008874692,
0.1265,0.0045054476,
0.12675,0.0026399526,
0.127,0.0032546096,
0.12725,0.0051503442,
0.1275,0.0032886073,
0.12775,-0.0010545070,
0.128,0.0004070082,
0.12825,0.0017714849,
0.1285,-0.0000393319,
0.12875,0.0012377838,
0.129,0.0015298438,
0.12925,-0.0000300046,
0.1295,-0.0015594868,
0.12975,-0.0002945954,
0.13,-0.0016292336,
0.13025,0.0008155983,
0.1305,0.0031024811,
0.13075,0.0008854378,
0.131,-0.0001693812,
0.13125,0.0005632732,
0.1315,0.0019769908,
0.13175,0.0009790187,
0.132,0.0025808092,
0.13225,0.0018075679,
0.1325,0.0050240364,
0.13275,0.0031067925,
0.133,-0.0000822609,
0.13325,-0.0021278751,
0.1335,-0.0000742360,
0.13375,0.0003648996,
0.134,-0.0018617890,
0.13425,-0.0049812580,
0.1345,-0.0022647188,
0.13475,-0.0016412230,
0.135,-0.0023832582,
0.13525,-0.0017343466,
0.1355,-0.0005909404,
0.13575,0.0025373087,
0.136,0.0053735124,
0.13625,0.0035906211,
0.1365,0.0033119037,
0.13675,0.0027550724,
0.137,0.0015107882,
0.13725,-0.0021159442,
0.1375,-0.0043399003,
0.13775,-0.0058130012,
0.138,-0.0012074623,
0.13825,-0.0014216520,
0.1385,-0.0037626000,
0.13875,-0.0031627389,
0.139,-0.0011902699,
0.13925,0.0018746164,
0.1395,-0.0019867034,
0.13975,0.0013216115,
0.14,0.0028461195,
0.14025,0.0004054337,
0.1405,-0.0043983003,
0.14075,-0.0041445307,
0.141,-0.0003870583,
0.14125,-0.0007096402,
0.1415,-0.0037921914,
0.14175,0.0005063897,
0.142,0.0011026659,
0.14225,-0.0011921402,
0.1425,-0.0056556547,
0.14275,-0.0058059264,
0.143,0.0008143621,
0.14325,0.0040497058,
0.1435,0.0001743552,
0.14375,0.0006507460,
0.144,0.0014858088,
0.14425,-0.0010570382,
0.1445,-0.0045563392,
0.14475,-0.0078360727,
0.145,-0.0033765452,
0.14525,-0.0016828085,
0.1455,-0.0066027138,
0.14575,-0.0094411215,
0.146,-0.0074889138,
0.14625,-0.0074937097,
0.1465,-0.0039774608,
0.14675,-0.0055103702,
0.147,-0.0039072204,
0.14725,-0.0023532244,
0.1475,-0.0023393203,
0.14775,-0.0051930500,
0.148,-0.0053915516,
0.14825,-0.0001919163,
0.1485,0.0029385551,
0.14875,0.0007280778,
0.149,-0.0009824263,
0.14925,-0.0015873056,
0.1495,-0.0026405384,
0.14975,-0.0023719596,
0.15,-0.0020147306,
