Date,2020-11-26 16:36:10
Filename,STFMK-20201105-LW19-3416_20201126_163610_004.dat
Data Label,정상
Label_No,00
Motor Spec,R-CAHU-01R, 1760,5.5,12.2,
Period,3SEC
Sample Rate,4000
RMS,0.008366,
Data Length,12000,
0,0.0060977535,
0.00025,0.0083967056,
0.0005,0.0062885950,
0.00075,0.0071360688,
0.001,0.0045258314,
0.00125,0.0018457209,
0.0015,0.0021901529,
0.00175,0.0003531834,
0.002,0.0019798619,
0.00225,-0.0041035311,
0.0025,-0.0053844620,
0.00275,-0.0029159638,
0.003,-0.0059118336,
0.00325,-0.0062142923,
0.0035,-0.0018176045,
0.00375,-0.0001236844,
0.004,-0.0028186524,
0.00425,-0.0066051446,
0.0045,-0.0022874209,
0.00475,-0.0046932427,
0.005,-0.0075647309,
0.00525,-0.0117953476,
0.0055,-0.0090487376,
0.00575,-0.0048857643,
0.006,-0.0066747749,
0.00625,-0.0081784762,
0.0065,-0.0142945405,
0.00675,-0.0085079605,
0.007,-0.0087734014,
0.00725,-0.0101628331,
0.0075,-0.0080830967,
0.00775,-0.0044704797,
0.008,-0.0028988242,
0.00825,-0.0050432910,
0.0085,-0.0077714194,
0.00875,-0.0105088437,
0.009,-0.0079663834,
0.00925,-0.0037662424,
0.0095,-0.0046714447,
0.00975,-0.0029887327,
0.01,0.0000939528,
0.01025,0.0003840745,
0.0105,0.0029903315,
0.01075,0.0045248233,
0.011,0.0015751298,
0.01125,0.0017337061,
0.0115,0.0052363593,
0.01175,0.0038371049,
0.012,0.0028007347,
0.01225,0.0052113384,
0.0125,0.0012933499,
0.01275,-0.0003601459,
0.013,0.0060397610,
0.01325,0.0094844000,
0.0135,0.0051182318,
0.01375,0.0028975094,
0.014,0.0096555594,
0.01425,0.0099201277,
0.0145,0.0074509787,
0.01475,0.0002241198,
0.015,0.0008988403,
0.01525,0.0019349651,
0.0155,0.0044660531,
0.01575,-0.0004573991,
0.016,-0.0023142376,
0.01625,-0.0012093334,
0.0165,-0.0014976240,
0.01675,-0.0029705951,
0.017,-0.0021676002,
0.01725,-0.0034611905,
0.0175,-0.0035867922,
0.01775,-0.0015192539,
0.018,0.0004971880,
0.01825,-0.0069483668,
0.0185,-0.0084756026,
0.01875,-0.0103937406,
0.019,-0.0120388819,
0.01925,-0.0121276472,
0.0195,-0.0097997598,
0.01975,-0.0101768794,
0.02,-0.0157272369,
0.02025,-0.0117820296,
0.0205,-0.0073355506,
0.02075,-0.0106452210,
0.021,-0.0146066621,
0.02125,-0.0129704839,
0.0215,-0.0062755537,
0.02175,-0.0096922861,
0.022,-0.0140976245,
0.02225,-0.0112912394,
0.0225,-0.0096119521,
0.02275,-0.0067460006,
0.023,-0.0079054516,
0.02325,-0.0110367835,
0.0235,-0.0075702416,
0.02375,-0.0041970443,
0.024,-0.0070115458,
0.02425,-0.0105124507,
0.0245,-0.0060579604,
0.02475,-0.0079628527,
0.025,-0.0010520063,
0.02525,-0.0006819234,
0.0255,-0.0049581188,
0.02575,0.0006029342,
0.026,-0.0003087696,
0.02625,-0.0008618574,
0.0265,-0.0026133098,
0.02675,0.0036112792,
0.027,0.0049882173,
0.02725,0.0036181724,
0.0275,0.0091617126,
0.02775,0.0089559862,
0.028,0.0076939315,
0.02825,0.0076417746,
0.0285,0.0090648159,
0.02875,0.0118803987,
0.029,0.0130398246,
0.02925,0.0144614568,
0.0295,0.0048902687,
0.02975,0.0057925186,
0.03,0.0146968765,
0.03025,0.0123092718,
0.0305,0.0078550642,
0.03075,0.0074328249,
0.031,0.0180000309,
0.03125,0.0184863452,
0.0315,0.0205555018,
0.03175,0.0120661696,
0.032,0.0109225065,
0.03225,0.0137240915,
0.0325,0.0148484185,
0.03275,0.0147880418,
0.033,0.0145514579,
0.03325,0.0178955160,
0.0335,0.0172966179,
0.03375,0.0161774755,
0.034,0.0097306129,
0.03425,0.0078450879,
0.0345,0.0070987274,
0.03475,0.0124664027,
0.035,0.0123080257,
0.03525,0.0085127540,
0.0355,0.0070930268,
0.03575,0.0071680462,
0.036,0.0022803065,
0.03625,0.0036843866,
0.0365,0.0050245775,
0.03675,0.0015671190,
0.037,0.0023620236,
0.03725,0.0090150340,
0.0375,0.0048750285,
0.03775,-0.0014231469,
0.038,-0.0074666175,
0.03825,-0.0095881997,
0.0385,-0.0035388509,
0.03875,0.0004002447,
0.039,-0.0038726127,
0.03925,-0.0051102815,
0.0395,-0.0032354947,
0.03975,-0.0037680352,
0.04,-0.0098141087,
0.04025,-0.0148664592,
0.0405,-0.0105972132,
0.04075,-0.0056204945,
0.041,-0.0050326362,
0.04125,-0.0094172861,
0.0415,-0.0135172447,
0.04175,-0.0121015105,
0.042,-0.0111507978,
0.04225,-0.0122509319,
0.0425,-0.0159494244,
0.04275,-0.0086518116,
0.043,-0.0031888995,
0.04325,-0.0017349084,
0.0435,-0.0068489006,
0.04375,-0.0074476916,
0.044,-0.0079926290,
0.04425,-0.0065462887,
0.0445,-0.0027340546,
0.04475,-0.0040277410,
0.045,-0.0014980831,
0.04525,0.0017309606,
0.0455,-0.0024142750,
0.04575,-0.0015537364,
0.046,0.0008155759,
0.04625,-0.0007500866,
0.0465,-0.0054827682,
0.04675,0.0066236663,
0.047,0.0139081338,
0.04725,0.0072658723,
0.0475,0.0014338135,
0.04775,0.0002295615,
0.048,0.0010209811,
0.04825,0.0049284236,
0.0485,0.0011218255,
0.04875,0.0014507024,
0.049,0.0080068391,
0.04925,0.0128944628,
0.0495,0.0079056257,
0.04975,0.0021201235,
0.05,0.0019009203,
0.05025,0.0005436181,
0.0505,0.0028035275,
0.05075,0.0010639399,
0.051,0.0006582807,
0.05125,0.0027340043,
0.0515,0.0032818529,
0.05175,0.0017679535,
0.052,-0.0030941842,
0.05225,-0.0037744620,
0.0525,0.0017668852,
0.05275,-0.0022164858,
0.053,-0.0029303401,
0.05325,-0.0013630840,
0.0535,-0.0021692456,
0.05375,-0.0099183256,
0.054,-0.0096728690,
0.05425,-0.0045103976,
0.0545,-0.0079999389,
0.05475,-0.0072656134,
0.055,-0.0102713462,
0.05525,-0.0062924437,
0.0555,-0.0052490602,
0.05575,-0.0082214354,
0.056,-0.0096561871,
0.05625,-0.0097843213,
0.0565,-0.0033869173,
0.05675,-0.0064537963,
0.057,-0.0075924299,
0.05725,-0.0108130537,
0.0575,-0.0055148648,
0.05775,-0.0068619819,
0.058,-0.0084476415,
0.05825,-0.0078301523,
0.0585,-0.0035065345,
0.05875,-0.0018791570,
0.059,0.0010524509,
0.05925,-0.0030333013,
0.0595,-0.0000981429,
0.05975,0.0008940541,
0.06,0.0022222956,
0.06025,-0.0023719294,
0.0605,0.0062491954,
0.06075,0.0096556554,
0.061,0.0077608135,
0.06125,0.0092325779,
0.0615,0.0081714038,
0.06175,0.0094240522,
0.062,0.0129499491,
0.06225,0.0119915055,
0.0625,0.0101915831,
0.06275,0.0188888907,
0.063,0.0198312830,
0.06325,0.0081668403,
0.0635,0.0049443212,
0.06375,0.0116815828,
0.064,0.0131848035,
0.06425,0.0112019796,
0.0645,0.0065652886,
0.06475,0.0104965186,
0.065,0.0151864523,
0.06525,0.0180513021,
0.0655,0.0090141669,
0.06575,0.0067215487,
0.066,0.0097714840,
0.06625,0.0102495532,
0.0665,0.0120342942,
0.06675,0.0102711050,
0.067,0.0086744018,
0.06725,0.0049789362,
0.0675,0.0048801322,
0.06775,0.0022734622,
0.068,0.0002456207,
0.06825,0.0001794097,
0.0685,-0.0004949773,
0.06875,0.0000437190,
0.069,-0.0043875379,
0.06925,-0.0033781510,
0.0695,-0.0046616090,
0.06975,-0.0096197315,
0.07,-0.0044250898,
0.07025,-0.0009293575,
0.0705,-0.0019999270,
0.07075,-0.0083041983,
0.071,-0.0060837106,
0.07125,-0.0034359831,
0.0715,-0.0104175899,
0.07175,-0.0152733820,
0.072,-0.0146179684,
0.07225,-0.0075677987,
0.0725,-0.0062259142,
0.07275,-0.0069017247,
0.073,-0.0126266433,
0.07325,-0.0135640167,
0.0735,-0.0077585643,
0.07375,-0.0122609790,
0.074,-0.0145209357,
0.07425,-0.0119126458,
0.0745,-0.0069774697,
0.07475,-0.0064782165,
0.075,-0.0113654379,
0.07525,-0.0135905445,
0.0755,-0.0126045486,
0.07575,-0.0061579924,
0.076,-0.0068078185,
0.07625,-0.0074502053,
0.0765,-0.0036219088,
0.07675,-0.0008094972,
0.077,-0.0022181347,
0.07725,-0.0012861609,
0.0775,-0.0041732811,
0.07775,-0.0078353034,
0.078,-0.0054558343,
0.07825,-0.0025507621,
0.0785,-0.0048875292,
0.07875,-0.0029010158,
0.079,-0.0011434908,
0.07925,-0.0057375841,
0.0795,-0.0019184116,
0.07975,0.0065837400,
0.08,0.0018935848,
0.08025,-0.0017883044,
0.0805,0.0003037364,
0.08075,0.0081351548,
0.081,0.0036177177,
0.08125,0.0008498891,
0.0815,-0.0054715145,
0.08175,-0.0032795747,
0.082,-0.0001472750,
0.08225,-0.0016251232,
0.0825,-0.0029458280,
0.08275,0.0015786324,
0.083,0.0034889705,
0.08325,0.0035869614,
0.0835,0.0002157507,
0.08375,0.0039484426,
0.084,0.0016333071,
0.08425,0.0039750570,
