Date,2020-11-28 15:12:23
Filename,STFMK-20201105-LW19-3416_20201128_151223_004.dat
Data Label,회전체불평형
Label_No,02
Motor Spec,R-CAHU-01R, 1760,5.5, 12.2,
Period,3SEC
Sample Rate,4000
RMS,0.035670,
Data Length,12000,
0,-0.0054908227,
0.00025,-0.0023186309,
0.0005,-0.0122527797,
0.00075,-0.0213901214,
0.001,-0.0214494877,
0.00125,-0.0214296412,
0.0015,-0.0201548915,
0.00175,-0.0243532620,
0.002,-0.0264905561,
0.00225,-0.0246637985,
0.0025,-0.0234415904,
0.00275,-0.0322371274,
0.003,-0.0369410701,
0.00325,-0.0306161866,
0.0035,-0.0371730663,
0.00375,-0.0378815457,
0.004,-0.0403584354,
0.00425,-0.0418437086,
0.0045,-0.0443129316,
0.00475,-0.0466629341,
0.005,-0.0506792739,
0.00525,-0.0495283715,
0.0055,-0.0432153828,
0.00575,-0.0433240160,
0.006,-0.0460614674,
0.00625,-0.0438121110,
0.0065,-0.0429505296,
0.00675,-0.0447427705,
0.007,-0.0499184839,
0.00725,-0.0528195649,
0.0075,-0.0442520827,
0.00775,-0.0407280400,
0.008,-0.0465129465,
0.00825,-0.0533751436,
0.0085,-0.0461368784,
0.00875,-0.0386510119,
0.009,-0.0442306139,
0.00925,-0.0479465947,
0.0095,-0.0489719287,
0.00975,-0.0378446095,
0.01,-0.0330066867,
0.01025,-0.0395321548,
0.0105,-0.0457675792,
0.01075,-0.0413037091,
0.011,-0.0355977267,
0.01125,-0.0377288759,
0.0115,-0.0360395424,
0.01175,-0.0335060097,
0.012,-0.0328379050,
0.01225,-0.0273110159,
0.0125,-0.0295566414,
0.01275,-0.0291258190,
0.013,-0.0284281764,
0.01325,-0.0243402906,
0.0135,-0.0247771200,
0.01375,-0.0220034979,
0.014,-0.0205565803,
0.01425,-0.0220364369,
0.0145,-0.0199482702,
0.01475,-0.0190257747,
0.015,-0.0116536338,
0.01525,-0.0070690638,
0.0155,-0.0091848839,
0.01575,-0.0092889844,
0.016,0.0012211564,
0.01625,0.0063130823,
0.0165,-0.0048381053,
0.01675,-0.0043119234,
0.017,0.0055183652,
0.01725,0.0134415925,
0.0175,0.0122940987,
0.01775,0.0098053748,
0.018,0.0117495060,
0.01825,0.0172110386,
0.0185,0.0221311450,
0.01875,0.0140895825,
0.019,0.0169064365,
0.01925,0.0255489815,
0.0195,0.0327347443,
0.01975,0.0343754478,
0.02,0.0311671756,
0.02025,0.0348025262,
0.0205,0.0405073017,
0.02075,0.0464293584,
0.021,0.0390872434,
0.02125,0.0401515216,
0.0215,0.0449944437,
0.02175,0.0483283475,
0.022,0.0493707135,
0.02225,0.0461548045,
0.0225,0.0463434458,
0.02275,0.0497850701,
0.023,0.0528498143,
0.02325,0.0528410897,
0.0235,0.0558783561,
0.02375,0.0573942773,
0.024,0.0558792986,
0.02425,0.0495073572,
0.0245,0.0565154701,
0.02475,0.0542568415,
0.025,0.0477377735,
0.02525,0.0457386859,
0.0255,0.0506138094,
0.02575,0.0539754257,
0.026,0.0528643280,
0.02625,0.0469555929,
0.0265,0.0432844684,
0.02675,0.0486281738,
0.027,0.0470752865,
0.02725,0.0391314849,
0.0275,0.0397687964,
0.02775,0.0408607870,
0.028,0.0417419523,
0.02825,0.0388631597,
0.0285,0.0346168093,
0.02875,0.0312999040,
0.029,0.0301220547,
0.02925,0.0322302692,
0.0295,0.0264736637,
0.02975,0.0259639286,
0.03,0.0197927561,
0.03025,0.0189679489,
0.0305,0.0200368296,
0.03075,0.0160548128,
0.031,0.0114981262,
0.03125,0.0112763057,
0.0315,0.0108108521,
0.03175,0.0096736122,
0.032,0.0116291372,
0.03225,0.0060832272,
0.0325,0.0010941098,
0.03275,-0.0004640058,
0.033,0.0006815447,
0.03325,-0.0038505581,
0.0335,-0.0117092803,
0.03375,-0.0115022231,
0.034,-0.0102225365,
0.03425,-0.0104013663,
0.0345,-0.0204473846,
0.03475,-0.0238424148,
0.035,-0.0191886742,
0.03525,-0.0217233747,
0.0355,-0.0250488855,
0.03575,-0.0292968862,
0.036,-0.0252002086,
0.03625,-0.0264256522,
0.0365,-0.0282998048,
0.03675,-0.0344122052,
0.037,-0.0358191095,
0.03725,-0.0317990184,
0.0375,-0.0398383886,
0.03775,-0.0375122800,
0.038,-0.0397662297,
0.03825,-0.0413488261,
0.0385,-0.0450344421,
0.03875,-0.0446673632,
0.039,-0.0459638089,
0.03925,-0.0442453772,
0.0395,-0.0421830080,
0.03975,-0.0469064265,
0.04,-0.0483944453,
0.04025,-0.0432694033,
0.0405,-0.0419829451,
0.04075,-0.0457713604,
0.041,-0.0521116406,
0.04125,-0.0503654070,
0.0415,-0.0427778512,
0.04175,-0.0484375842,
0.042,-0.0583123714,
0.04225,-0.0556604862,
0.0425,-0.0471155681,
0.04275,-0.0412248038,
0.043,-0.0476991944,
0.04325,-0.0513929427,
0.0435,-0.0507349297,
0.04375,-0.0456285030,
0.044,-0.0491680913,
0.04425,-0.0540794656,
0.0445,-0.0509337112,
0.04475,-0.0449318476,
0.045,-0.0411325395,
0.04525,-0.0415350683,
0.0455,-0.0427766889,
0.04575,-0.0395351052,
0.046,-0.0411874279,
0.04625,-0.0356524512,
0.0465,-0.0365342982,
0.04675,-0.0311507825,
0.047,-0.0305186547,
0.04725,-0.0292812623,
0.0475,-0.0292687025,
0.04775,-0.0277387276,
0.048,-0.0268210694,
0.04825,-0.0264733322,
0.0485,-0.0178501904,
0.04875,-0.0097241662,
0.049,-0.0043350919,
0.04925,-0.0044858772,
0.0495,-0.0121795405,
0.04975,-0.0091125751,
0.05,-0.0007530613,
0.05025,0.0009174512,
0.0505,-0.0003527966,
0.05075,0.0075850799,
0.051,0.0128830466,
0.05125,0.0185602941,
0.0515,0.0164698921,
0.05175,0.0091085006,
0.052,0.0143398251,
0.05225,0.0239624474,
0.0525,0.0268680230,
0.05275,0.0240280870,
0.053,0.0334772989,
0.05325,0.0365575217,
0.0535,0.0415485911,
0.05375,0.0361638665,
0.054,0.0316462368,
0.05425,0.0389590338,
0.0545,0.0468726046,
0.05475,0.0519160517,
0.055,0.0469592735,
0.05525,0.0488097295,
0.0555,0.0487098992,
0.05575,0.0520232618,
0.056,0.0497176722,
0.05625,0.0464160778,
0.0565,0.0513464250,
0.05675,0.0543301739,
0.057,0.0535841361,
0.05725,0.0538645461,
0.0575,0.0573109314,
0.05775,0.0544885993,
0.058,0.0466282144,
0.05825,0.0505204089,
0.0585,0.0582923666,
0.05875,0.0595250912,
0.059,0.0517269820,
0.05925,0.0478638113,
0.0595,0.0477238335,
0.05975,0.0506422110,
0.06,0.0437848419,
0.06025,0.0365999043,
0.0605,0.0439894572,
0.06075,0.0489949770,
0.061,0.0467130616,
0.06125,0.0380765013,
0.0615,0.0377474874,
0.06175,0.0325205848,
0.062,0.0324227139,
0.06225,0.0308170542,
0.0625,0.0262767356,
0.06275,0.0300380681,
0.063,0.0307399593,
0.06325,0.0333714187,
0.0635,0.0240108445,
0.06375,0.0206636544,
0.064,0.0140448101,
0.06425,0.0158933643,
0.0645,0.0176038016,
0.06475,0.0147339515,
0.065,0.0149352998,
0.06525,0.0100378245,
0.0655,0.0065187952,
0.06575,0.0062598456,
0.066,0.0062899450,
0.06625,0.0006905708,
0.0665,-0.0042827367,
0.06675,0.0018341236,
0.067,0.0041076755,
0.06725,-0.0023937225,
0.0675,-0.0112978034,
0.06775,-0.0127203427,
0.068,-0.0116176549,
0.06825,-0.0131207416,
0.0685,-0.0205406267,
0.06875,-0.0210165065,
0.069,-0.0153413061,
0.06925,-0.0174313914,
0.0695,-0.0229335297,
0.06975,-0.0272669662,
0.07,-0.0233875439,
0.07025,-0.0286044367,
0.0705,-0.0278579183,
0.07075,-0.0320712700,
0.071,-0.0320228040,
0.07125,-0.0317352787,
0.0715,-0.0363487713,
0.07175,-0.0385249816,
0.072,-0.0390625522,
0.07225,-0.0371413603,
0.0725,-0.0409280099,
0.07275,-0.0414754450,
0.073,-0.0455123633,
0.07325,-0.0422639698,
0.0735,-0.0418369025,
0.07375,-0.0474026129,
0.074,-0.0471584573,
0.07425,-0.0411845595,
0.0745,-0.0391559973,
0.07475,-0.0477252342,
0.075,-0.0531776026,
0.07525,-0.0463992134,
0.0755,-0.0411382727,
0.07575,-0.0459604412,
0.076,-0.0557585359,
0.07625,-0.0505701639,
0.0765,-0.0425359942,
0.07675,-0.0401016325,
0.077,-0.0483381785,
0.07725,-0.0497955680,
0.0775,-0.0437774658,
0.07775,-0.0413050689,
0.078,-0.0397611409,
0.07825,-0.0419804677,
0.0785,-0.0367673598,
0.07875,-0.0359077603,
0.079,-0.0344676040,
0.07925,-0.0343419425,
0.0795,-0.0329621546,
0.07975,-0.0297066662,
0.08,-0.0331795476,
0.08025,-0.0296668112,
0.0805,-0.0265568290,
0.08075,-0.0224366859,
0.081,-0.0219228975,
0.08125,-0.0232580751,
0.0815,-0.0172318164,
0.08175,-0.0120520629,
0.082,-0.0090052504,
0.08225,-0.0123343719,
0.0825,-0.0095172618,
0.08275,0.0002774626,
0.083,0.0017434217,
0.08325,-0.0034114297,
0.0835,-0.0084396666,
0.08375,0.0044094920,
0.084,0.0079948017,
0.08425,0.0078914976,
0.0845,0.0041984399,
0.08475,0.0054658102,
0.085,0.0139556825,
0.08525,0.0190632194,
0.0855,0.0130469957,
0.08575,0.0148010384,
0.086,0.0246899668,
0.08625,0.0312460586,
0.0865,0.0259526111,
0.08675,0.0245311130,
0.087,0.0283076521,
0.08725,0.0321526863,
0.0875,0.0363099277,
0.08775,0.0298863538,
0.088,0.0326646455,
0.08825,0.0376238711,
0.0885,0.0446670838,
0.08875,0.0452374481,
0.089,0.0408524424,
0.08925,0.0437140800,
0.0895,0.0468855388,
0.08975,0.0484885462,
0.09,0.0477699973,
0.09025,0.0493796468,
0.0905,0.0546956882,
0.09075,0.0495627150,
0.091,0.0473226830,
0.09125,0.0508274734,
0.0915,0.0534132309,
0.09175,0.0444968492,
0.092,0.0441002883,
0.09225,0.0516519994,
0.0925,0.0549918190,
0.09275,0.0554363057,
0.093,0.0473180376,
0.09325,0.0476312786,
0.0935,0.0486171953,
0.09375,0.0483273417,
0.094,0.0404539518,
0.09425,0.0407168120,
0.0945,0.0439933166,
0.09475,0.0425356440,
0.095,0.0404805541,
