Date,2020-11-25 15:35:24
Filename,STFMK-20201105-LW19-3047_20201125_153524_004.dat
Data Label,정상
Label_No,00
Motor Spec,R-SF-01, 1765,5.5, 11.1,
Period,3SEC
Sample Rate,4000
RMS,0.003176,
Data Length,12000,
0,-0.0012429118,
0.00025,-0.0039060833,
0.0005,-0.0015126709,
0.00075,0.0002338114,
0.001,-0.0013785668,
0.00125,-0.0000906906,
0.0015,0.0016802845,
0.00175,0.0008316704,
0.002,0.0003976111,
0.00225,-0.0004038182,
0.0025,0.0014647528,
0.00275,0.0027011675,
0.003,0.0007539829,
0.00325,0.0018660559,
0.0035,0.0037905423,
0.00375,0.0032332386,
0.004,0.0029079455,
0.00425,0.0051294817,
0.0045,0.0049617472,
0.00475,0.0040105153,
0.005,0.0041269939,
0.00525,0.0053760707,
0.0055,0.0046394384,
0.00575,0.0037961365,
0.006,0.0019159053,
0.00625,0.0055817831,
0.0065,0.0064855926,
0.00675,0.0015965250,
0.007,0.0031088770,
0.00725,0.0048517240,
0.0075,0.0013520826,
0.00775,0.0028620996,
0.008,0.0047481344,
0.00825,0.0001889319,
0.0085,0.0023491706,
0.00875,0.0037256321,
0.009,0.0002406471,
0.00925,-0.0008960415,
0.0095,0.0012426530,
0.00975,-0.0005639443,
0.01,-0.0013200537,
0.01025,-0.0001553218,
0.0105,0.0004049482,
0.01075,0.0000757745,
0.011,-0.0023980790,
0.01125,-0.0009325778,
0.0115,-0.0005928606,
0.01175,-0.0030833785,
0.012,-0.0039032763,
0.01225,-0.0027081466,
0.0125,-0.0036123886,
0.01275,-0.0048489301,
0.013,-0.0033147894,
0.01325,-0.0037365183,
0.0135,-0.0048074727,
0.01375,-0.0040671611,
0.014,-0.0038168393,
0.01425,-0.0031590832,
0.0145,-0.0029835063,
0.01475,-0.0067946305,
0.015,-0.0047788057,
0.01525,-0.0009355557,
0.0155,-0.0035426358,
0.01575,-0.0030699826,
0.016,-0.0005869672,
0.01625,-0.0040779631,
0.0165,-0.0028633829,
0.01675,-0.0001811013,
0.017,-0.0023897479,
0.01725,-0.0028022011,
0.0175,0.0006396116,
0.01775,0.0007819795,
0.018,-0.0008525579,
0.01825,0.0012347080,
0.0185,0.0024082677,
0.01875,0.0002910186,
0.019,-0.0004011681,
0.01925,0.0019822675,
0.0195,0.0028399553,
0.01975,0.0010429103,
0.02,0.0026123021,
0.02025,0.0045816186,
0.0205,0.0035219216,
0.02075,0.0030258254,
0.021,0.0054115318,
0.02125,0.0051954994,
0.0215,0.0034570354,
0.02175,0.0052992562,
0.022,0.0054404410,
0.02225,0.0035473590,
0.0225,0.0047786757,
0.02275,0.0030800784,
0.023,0.0044688354,
0.02325,0.0062369537,
0.0235,0.0029853610,
0.02375,0.0015254340,
0.024,0.0047031371,
0.02425,0.0025863480,
0.0245,0.0023351633,
0.02475,0.0041210013,
0.025,0.0017996053,
0.02525,0.0010752383,
0.0255,0.0029360475,
0.02575,0.0012275263,
0.026,-0.0019266621,
0.02625,0.0000153627,
0.0265,0.0005655069,
0.02675,-0.0010859577,
0.027,-0.0006720907,
0.02725,0.0011341074,
0.0275,-0.0006228538,
0.02775,-0.0024782026,
0.028,-0.0010340163,
0.02825,-0.0015662853,
0.0285,-0.0035094495,
0.02875,-0.0042893938,
0.029,-0.0025577140,
0.02925,-0.0036851983,
0.0295,-0.0047590216,
0.02975,-0.0037849676,
0.03,-0.0040203044,
0.03025,-0.0057901107,
0.0305,-0.0033143018,
0.03075,-0.0038279919,
0.031,-0.0048479647,
0.03125,-0.0036751344,
0.0315,-0.0052791182,
0.03175,-0.0053783366,
0.032,-0.0022617753,
0.03225,-0.0022067390,
0.0325,-0.0039556790,
0.03275,-0.0025043937,
0.033,-0.0025759262,
