Date,2020-12-23 11:55:56
Filename,STFMK-20201105-LW19-3047_20201223_115556_004.dat
Data Label,축정렬불량
Label_No,03
Motor Spec,R-SF-01, 1765,5.5, 11.1,
Period,3SEC
Sample Rate,4000
RMS,0.021026,
Data Length,12000,
0,0.0337496214,
0.00025,0.0257149749,
0.0005,0.0320078358,
0.00075,0.0209107921,
0.001,0.0070922538,
0.00125,-0.0066304244,
0.0015,-0.0002525024,
0.00175,-0.0226291455,
0.002,-0.0238162950,
0.00225,-0.0239493251,
0.0025,-0.0161863975,
0.00275,-0.0236692633,
0.003,-0.0192380957,
0.00325,-0.0158582870,
0.0035,-0.0139780249,
0.00375,-0.0099399043,
0.004,-0.0031953054,
0.00425,0.0065028924,
0.0045,0.0080779074,
0.00475,0.0120910592,
0.005,0.0183522422,
0.00525,0.0304957405,
0.0055,0.0276953615,
0.00575,0.0336348936,
0.006,0.0288525559,
0.00625,0.0245462060,
0.0065,0.0224389788,
0.00675,0.0104425950,
0.007,-0.0001961460,
0.00725,-0.0096616540,
0.0075,-0.0158643574,
0.00775,-0.0260453895,
0.008,-0.0238021351,
0.00825,-0.0313682444,
0.0085,-0.0334826633,
0.00875,-0.0379709862,
0.009,-0.0270726364,
0.00925,-0.0135178035,
0.0095,-0.0061867940,
0.00975,0.0053588259,
0.01,0.0234763958,
0.01025,0.0353134461,
0.0105,0.0378824100,
0.01075,0.0416553617,
0.011,0.0389160253,
0.01125,0.0298809726,
0.0115,0.0146875307,
0.01175,0.0144678829,
0.012,0.0097519234,
0.01225,0.0024518312,
0.0125,-0.0053135818,
0.01275,0.0028822417,
0.013,0.0006587232,
0.01325,-0.0030784723,
0.0135,-0.0087593319,
0.01375,-0.0103847403,
0.014,-0.0135186613,
0.01425,-0.0262595266,
0.0145,-0.0208376925,
0.01475,-0.0218954291,
0.015,-0.0247698054,
0.01525,-0.0266170241,
0.0155,-0.0141739696,
0.01575,-0.0086138779,
0.016,-0.0105319172,
0.01625,-0.0111210328,
0.0165,0.0001801523,
0.01675,0.0023921062,
0.017,-0.0014391175,
0.01725,0.0074309744,
0.0175,0.0151800904,
0.01775,0.0138573172,
0.018,0.0031751506,
0.01825,0.0015795249,
0.0185,-0.0038247453,
0.01875,-0.0052635563,
0.019,-0.0065481579,
0.01925,0.0016022818,
0.0195,0.0026331921,
0.01975,0.0069418922,
0.02,0.0080442512,
0.02025,0.0096302442,
0.0205,0.0097374264,
0.02075,0.0031933167,
0.021,-0.0056655467,
0.02125,-0.0161036588,
0.0215,-0.0149289472,
0.02175,-0.0140916891,
0.022,-0.0053733150,
0.02225,-0.0010679982,
0.0225,0.0149254547,
0.02275,0.0276451111,
0.023,0.0423365086,
0.02325,0.0479367413,
0.0235,0.0545513816,
0.02375,0.0455687642,
0.024,0.0400394425,
0.02425,0.0313067921,
0.0245,0.0211147107,
0.02475,0.0131992344,
0.025,0.0024999466,
0.02525,-0.0095030256,
0.0255,-0.0280542467,
0.02575,-0.0357471555,
0.026,-0.0464788675,
0.02625,-0.0537657887,
0.0265,-0.0621461198,
0.02675,-0.0598034970,
0.027,-0.0560224019,
0.02725,-0.0458492339,
0.0275,-0.0473687984,
0.02775,-0.0375536457,
0.028,-0.0248067006,
0.02825,-0.0111559145,
0.0285,-0.0002113152,
0.02875,0.0157855712,
0.029,0.0299774688,
0.02925,0.0417360291,
0.0295,0.0595674887,
0.02975,0.0698944330,
0.03,0.0741102472,
0.03025,0.0627868325,
0.0305,0.0508531779,
0.03075,0.0395779386,
0.031,0.0185652971,
0.03125,0.0008101087,
0.0315,-0.0226305537,
0.03175,-0.0357473977,
0.032,-0.0499522500,
0.03225,-0.0495218821,
0.0325,-0.0515917465,
0.03275,-0.0413114913,
0.033,-0.0397509485,
0.03325,-0.0208959002,
0.0335,-0.0155878421,
0.03375,-0.0095293233,
0.034,-0.0046021692,
0.03425,0.0017247454,
0.0345,0.0044350764,
0.03475,-0.0010457357,
0.035,0.0046523353,
0.03525,0.0037121119,
0.0355,0.0087260967,
0.03575,0.0096146781,
0.036,0.0249179434,
0.03625,0.0181677788,
0.0365,0.0231920332,
0.03675,0.0181244947,
0.037,0.0174482558,
0.03725,0.0119350851,
0.0375,0.0110266060,
0.03775,0.0055492693,
0.038,0.0054557039,
0.03825,0.0006411020,
0.0385,0.0076582939,
0.03875,0.0100041544,
0.039,0.0012713623,
0.03925,0.0058205286,
0.0395,0.0053498065,
0.03975,0.0120881200,
0.04,0.0058288854,
0.04025,0.0032167817,
0.0405,-0.0145523734,
0.04075,-0.0235472322,
0.041,-0.0370309539,
0.04125,-0.0384468324,
0.0415,-0.0381208099,
0.04175,-0.0312498938,
0.042,-0.0245128758,
0.04225,-0.0190568324,
0.0425,-0.0035145367,
0.04275,0.0092319930,
0.043,0.0195187181,
0.04325,0.0239452720,
0.0435,0.0331374817,
0.04375,0.0300189275,
0.044,0.0304318853,
0.04425,0.0167663824,
0.0445,0.0130464174,
0.04475,0.0038626001,
0.045,-0.0008258723,
0.04525,-0.0105516631,
0.0455,-0.0132847950,
0.04575,-0.0133408522,
0.046,-0.0131291226,
0.04625,-0.0098576602,
0.0465,-0.0094049536,
0.04675,-0.0105157262,
0.047,-0.0211535972,
0.04725,-0.0177068561,
0.0475,-0.0105061531,
0.04775,-0.0013716590,
0.048,0.0030110360,
0.04825,0.0104347765,
0.0485,0.0163540263,
0.04875,0.0150085222,
0.049,0.0212090313,
0.04925,0.0274255965,
0.0495,0.0311158560,
0.04975,0.0186969880,
0.05,0.0255876482,
0.05025,0.0092911050,
0.0505,0.0057897554,
0.05075,-0.0168564767,
0.051,-0.0092798714,
0.05125,-0.0230244845,
0.0515,-0.0206195395,
0.05175,-0.0256195441,
0.052,-0.0149142575,
0.05225,-0.0148244631,
0.0525,0.0007256088,
0.05275,0.0107952859,
0.053,0.0122753941,
0.05325,0.0200803112,
0.0535,0.0213795416,
0.05375,0.0248910878,
0.054,0.0177380778,
0.05425,0.0238793902,
0.0545,0.0112448353,
0.05475,0.0020374807,
0.055,-0.0124430275,
0.05525,-0.0029430937,
0.0555,-0.0155044273,
0.05575,-0.0206764750,
0.056,-0.0150788482,
0.05625,-0.0047489544,
0.0565,-0.0025799510,
0.05675,-0.0054305191,
0.057,-0.0025533536,
0.05725,-0.0087441904,
0.0575,-0.0123930685,
0.05775,-0.0112277502,
0.058,-0.0014419118,
0.05825,-0.0025775225,
0.0585,0.0029562481,
0.05875,0.0014186967,
0.059,0.0035135888,
0.05925,0.0016241176,
0.0595,0.0022111880,
0.05975,0.0100356760,
0.06,0.0159052406,
0.06025,0.0221510772,
0.0605,0.0236993320,
0.06075,0.0290718973,
0.061,0.0235210937,
0.06125,0.0230800565,
0.0615,0.0175107513,
0.06175,0.0196180586,
0.062,0.0116002243,
0.06225,0.0100832228,
0.0625,0.0052597998,
0.06275,0.0041189622,
0.063,-0.0062677069,
0.06325,-0.0084006162,
0.0635,-0.0197666679,
0.06375,-0.0385962799,
0.064,-0.0435072258,
0.06425,-0.0436098352,
0.0645,-0.0428671204,
0.06475,-0.0537513345,
0.065,-0.0437396318,
0.06525,-0.0398423336,
0.0655,-0.0277718045,
0.06575,-0.0194542278,
0.066,0.0055524264,
0.06625,0.0110349106,
0.0665,0.0211693980,
0.06675,0.0302653406,
0.067,0.0458823331,
0.06725,0.0450907610,
0.0675,0.0360849798,
0.06775,0.0432214290,
0.068,0.0409461521,
0.06825,0.0365143493,
0.0685,0.0271914117,
0.06875,0.0322292671,
0.069,0.0183548201,
0.06925,0.0166618805,
0.0695,0.0085220644,
0.06975,0.0099923387,
0.07,0.0023686441,
0.07025,-0.0033215969,
0.0705,-0.0031395759,
0.07075,-0.0076610800,
0.071,-0.0197246149,
0.07125,-0.0294338372,
0.0715,-0.0366855562,
0.07175,-0.0441085882,
0.072,-0.0454990752,
0.07225,-0.0489085577,
0.0725,-0.0410558246,
0.07275,-0.0381629467,
0.073,-0.0252246391,
0.07325,-0.0178064778,
0.0735,0.0013604627,
0.07375,0.0002931709,
0.074,0.0050336751,
0.07425,0.0122447181,
0.0745,0.0254274923,
0.07475,0.0257875975,
0.075,0.0240919478,
0.07525,0.0258177165,
0.0755,0.0198821984,
0.07575,0.0111324564,
0.076,0.0079115219,
0.07625,0.0109359669,
0.0765,0.0075774081,
0.07675,0.0043881927,
0.077,0.0056623425,
0.07725,0.0012679088,
0.0775,-0.0053776400,
0.07775,-0.0072801504,
0.078,-0.0053002583,
0.07825,-0.0032916497,
0.0785,0.0001321462,
0.07875,0.0024524981,
0.079,0.0045503820,
0.07925,0.0114761628,
0.0795,0.0156514440,
0.07975,0.0216138884,
0.08,0.0221489351,
0.08025,0.0150181251,
0.0805,0.0073830602,
0.08075,-0.0034252394,
0.081,-0.0089541133,
0.08125,-0.0132787330,
0.0815,-0.0230280869,
0.08175,-0.0240934938,
0.082,-0.0212335400,
0.08225,-0.0242148340,
0.0825,-0.0234938413,
0.08275,-0.0205997229,
0.083,-0.0130627360,
0.08325,-0.0140580628,
0.0835,-0.0053015267,
0.08375,0.0029004528,
0.084,0.0196613967,
0.08425,0.0153120654,
0.0845,0.0266559701,
0.08475,0.0357971899,
0.085,0.0493511558,
0.08525,0.0439926945,
0.0855,0.0470956042,
0.08575,0.0521801487,
0.086,0.0531261712,
0.08625,0.0469785631,
0.0865,0.0381945036,
0.08675,0.0362608470,
0.087,0.0285644680,
0.08725,0.0215084311,
0.0875,0.0057536215,
0.08775,-0.0092330333,
0.088,-0.0278075114,
0.08825,-0.0459981672,
0.0885,-0.0592985563,
0.08875,-0.0674268678,
0.089,-0.0716134459,
0.08925,-0.0690730065,
0.0895,-0.0687806755,
0.08975,-0.0567740574,
0.09,-0.0439489298,
0.09025,-0.0325807333,
0.0905,-0.0269850902,
0.09075,-0.0076342104,
0.091,0.0006747322,
0.09125,0.0189911406,
0.0915,0.0222757682,
0.09175,0.0162443090,
0.092,0.0244635716,
0.09225,0.0093829753,
0.0925,0.0131239202,
0.09275,-0.0012867317,
0.093,-0.0036446154,
0.09325,-0.0012176975,
0.0935,-0.0137625188,
0.09375,-0.0171541125,
0.094,-0.0296650603,
0.09425,-0.0328652970,
0.0945,-0.0399239883,
0.09475,-0.0414312556,
0.095,-0.0317364112,
0.09525,-0.0263398550,
0.0955,-0.0163099952,
0.09575,0.0007528254,
0.096,0.0132939629,
0.09625,0.0354519524,
0.0965,0.0409372486,
0.09675,0.0477281585,
0.097,0.0486024991,
0.09725,0.0439399816,
0.0975,0.0424623191,
0.09775,0.0362678692,
0.098,0.0354046114,
0.09825,0.0271837041,
